     Lattice Point       Full KS potential   Exchange Correlation  Hartree Potential  Potential-External potential
                                               Potential
      -14.0000000000       10.0636370662       -0.2784493356        0.2734336530       -0.0050156826
      -13.6000000000        6.9316771567       -0.3038594204        0.2995779458       -0.0042814745
      -13.2000000000        4.5996182035       -0.3364555973        0.3329340586       -0.0035215387
      -12.8000000000        2.8905629031       -0.3811852878        0.3784510153       -0.0027342725
      -12.4000000000        1.6618166436       -0.4506029670        0.4486847454       -0.0019182217
      -12.0000000000        0.7991164506       -0.5745146230        0.5734428624       -0.0010717606
      -11.6000000000        0.2116932107       -0.8037482230        0.8035550623       -0.0001931607
      -11.2000000000       -0.1719316140       -1.1827846168        1.1835040666        0.0007194498
      -10.8000000000       -0.4075050635       -1.6897838266        1.6914519125        0.0016680859
      -10.4000000000       -0.5380390569       -2.2030119120        2.2056668406        0.0026549286
      -10.0000000000       -0.5963176635       -2.5528929770        2.5565753135        0.0036823365
       -9.6000000000       -0.6069813418       -2.6262380382        2.6309909063        0.0047528682
       -9.2000000000       -0.5882473197       -2.4276784751        2.4335477763        0.0058693012
       -8.8000000000       -0.5533188222       -2.0552000478        2.0622347056        0.0070346578
       -8.4000000000       -0.5115299220       -1.6303253881        1.6385776197        0.0082522316
       -8.0000000000       -0.4692672883       -1.2429740336        1.2524996540        0.0095256205
       -7.6000000000       -0.4307050852       -0.9349093318        0.9457680899        0.0108587582
       -7.2000000000       -0.3983846341       -0.7106269193        0.7228828820        0.0122559627
       -6.8000000000       -0.3736663018       -0.5558153850        0.5695373571        0.0137219721
       -6.4000000000       -0.3570771859       -0.4514585545        0.4667205691        0.0152620146
       -6.0000000000       -0.3485748436       -0.3809555626        0.3978374102        0.0168818476
       -5.6000000000       -0.3477440523       -0.3321986009        0.3507864691        0.0185878682
       -5.2000000000       -0.3539410958       -0.2971967465        0.3175838832        0.0203871366
       -4.8000000000       -0.3663972079       -0.2709672809        0.2932548556        0.0222875748
       -4.4000000000       -0.3842913436       -0.2504849655        0.2747828831        0.0242979176
       -4.0000000000       -0.4067994522       -0.2339175525        0.2603456715        0.0264281190
       -3.6000000000       -0.4331277027       -0.2201365176        0.2488255421        0.0286890245
       -3.2000000000       -0.4625325898       -0.2084237905        0.2395170592        0.0310932687
       -2.8000000000       -0.4943352835       -0.1983050598        0.2319588232        0.0336537635
       -2.4000000000       -0.5279276778       -0.1894530050        0.2258380982        0.0363850932
       -2.0000000000       -0.5627829910       -0.1816395821        0.2209365399        0.0392969578
       -1.6000000000       -0.5984536395       -0.1747004842        0.2170988071        0.0423983230
       -1.2000000000       -0.6345258487       -0.1684702451        0.2142139641        0.0457437190
       -0.8000000000       -0.6702180140       -0.1623689742        0.2122042081        0.0498352340
       -0.4000000000       -0.7029512327       -0.1539658677        0.2110179630        0.0570520953
        0.0000000000       -0.7359878641       -0.1466136107        0.2106257466        0.0640121359
        0.4000000000       -0.7829515910       -0.1539662260        0.2110179630        0.0570517370
        0.8000000000       -0.8302179969       -0.1623689570        0.2122042081        0.0498352511
        1.2000000000       -0.8745260536       -0.1684704501        0.2142139641        0.0457435141
        1.6000000000       -0.9184537439       -0.1747005885        0.2170988071        0.0423982186
        2.0000000000       -0.9627831468       -0.1816397379        0.2209365399        0.0392968020
        2.4000000000       -1.0079278094       -0.1894531366        0.2258380982        0.0363849616
        2.8000000000       -1.0543354282       -0.1983052045        0.2319588232        0.0336536188
        3.2000000000       -1.1025327274       -0.2084239281        0.2395170592        0.0310931311
        3.6000000000       -1.1531278446       -0.2201366595        0.2488255421        0.0286888827
        4.0000000000       -1.2067995916       -0.2339176919        0.2603456715        0.0264279796
        4.4000000000       -1.2642914847       -0.2504851066        0.2747828831        0.0242977765
        4.8000000000       -1.3263973477       -0.2709674206        0.2932548556        0.0222874350
        5.2000000000       -1.3939412362       -0.2971968869        0.3175838832        0.0203869963
        5.6000000000       -1.4677441927       -0.3321987412        0.3507864691        0.0185877279
        6.0000000000       -1.5485749841       -0.3809557031        0.3978374102        0.0168817071
        6.4000000000       -1.6370773264       -0.4514586950        0.4667205691        0.0152618741
        6.8000000000       -1.7336664423       -0.5558155255        0.5695373571        0.0137218316
        7.2000000000       -1.8383847743       -0.7106270595        0.7228828820        0.0122558225
        7.6000000000       -1.9507052255       -0.9349094721        0.9457680899        0.0108586179
        8.0000000000       -2.0692674287       -1.2429741739        1.2524996540        0.0095254801
        8.4000000000       -2.1915300624       -1.6303255285        1.6385776197        0.0082520913
        8.8000000000       -2.3133189625       -2.0552001882        2.0622347056        0.0070345175
        9.2000000000       -2.4282474603       -2.4276786157        2.4335477763        0.0058691606
        9.6000000000       -2.5269814821       -2.6262381784        2.6309909063        0.0047527279
       10.0000000000       -2.5963178039       -2.5528931173        2.5565753135        0.0036821961
       10.4000000000       -2.6180391973       -2.2030120524        2.2056668406        0.0026547882
       10.8000000000       -2.5675052038       -1.6897839670        1.6914519125        0.0016679455
       11.2000000000       -2.4119317544       -1.1827847572        1.1835040666        0.0007193094
       11.6000000000       -2.1083069298       -0.8037483634        0.8035550623       -0.0001933011
       12.0000000000       -1.6008836897       -0.5745147633        0.5734428624       -0.0010719009
       12.4000000000       -0.8181834966       -0.4506031072        0.4486847454       -0.0019183618
       12.8000000000        0.3305627629       -0.3811854280        0.3784510153       -0.0027344127
       13.2000000000        1.9596180627       -0.3364557382        0.3329340586       -0.0035216796
       13.6000000000        4.2116770181       -0.3038595590        0.2995779458       -0.0042816131
       14.0000000000        7.2636369133       -0.2784494885        0.2734336530       -0.0050158355
  
  
      -14.0000000000       10.0636370744       -0.2784492542        0.2734335798       -0.0050156744
      -13.6000000000        6.9316771649       -0.3038593208        0.2995778545       -0.0042814663
      -13.2000000000        4.5996182117       -0.3364554697        0.3329339391       -0.0035215306
      -12.8000000000        2.8905629111       -0.3811851088        0.3784508443       -0.0027342645
      -12.4000000000        1.6618166517       -0.4506026759        0.4486844623       -0.0019182136
      -12.0000000000        0.7991164586       -0.5745140906        0.5734423379       -0.0010717526
      -11.6000000000        0.2116932182       -0.8037472749        0.8035541218       -0.0001931531
      -11.2000000000       -0.1719316063       -1.1827831840        1.1835026415        0.0007194575
      -10.8000000000       -0.4075050558       -1.6897821358        1.6914502293        0.0016680935
      -10.4000000000       -0.5380390495       -2.2030104685        2.2056654045        0.0026549360
      -10.0000000000       -0.5963176563       -2.5528922751        2.5565746188        0.0036823437
       -9.6000000000       -0.6069813347       -2.6262382565        2.6309911318        0.0047528753
       -9.2000000000       -0.5882473130       -2.4276794219        2.4335487297        0.0058693078
