,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,6.024127242685424e-19,1.8730514336669462e-18,-4.9152842302494166e-18,-2.7634984684236243e-18,6.1747740875086045e-18,-1.2631132220538691e-17,-1.2959275342415578e-17,4.722437924032853e-17,7.381624639328295e-17,3.5506683487977153e-16,-7.046789965752925e-16,5.994089250496732e-16,-3.3638967205583777e-16,-2.0934334588095307e-16,-3.4534772045243184e-16,5.0270020520673964e-15,-1.0470437688257003e-14,7.856076319908117e-15,-8.022420567617298e-16,-7.089984199967102e-16,2.5061317996879164e-16,2.4434538224534205e-16,8.317850462243793e-17,-9.466234982079389e-17,1.3667540199901034e-17,1.0175121474196232e-17,1.5280859035523242e-17,-1.249157163902818e-17,9.867517022899246e-18,1.9407858497091435e-18,1.3612429628253928e-18,-3.837676834334125e-19
1,1.5649076576197017e-13,-2.290128323366166e-13,3.1694606092793065e-13,-5.677952592162608e-13,9.308038928074409e-13,-1.6726112961394152e-12,2.8433471878258393e-12,-5.010480497236584e-12,8.445214577874293e-12,-1.436307039820497e-11,2.334012258907259e-11,-3.920454613585165e-11,6.917297526086526e-11,-1.5479822886467486e-10,3.51197080876639e-10,-7.768344249673229e-10,1.194665673602853e-09,-1.1200242429611113e-09,7.376321905457573e-10,-4.1729308309365465e-10,2.1232954141514292e-10,-1.0482221373967877e-10,5.075641154615894e-11,-2.4845854531619255e-11,1.2121872786033431e-11,-6.074267907458348e-12,3.014149548753573e-12,-1.5724179980204885e-12,7.926768888693583e-13,-4.5306099568948697e-13,2.435040905419165e-13,-1.9321668565598125e-13
2,6.212407047122164e-13,-9.069233403690287e-13,1.257396252205181e-12,-2.2497019512872008e-12,3.691064725302997e-12,-6.628768930594352e-12,1.1273072516999571e-11,-1.9858144331745833e-11,3.3475500487133445e-11,-5.6906873701109716e-11,9.245373102545983e-11,-1.5516874119245588e-10,2.738890212372078e-10,-6.133540521792352e-10,1.3956598253932955e-09,-3.092204897719939e-09,4.75416255600354e-09,-4.456375289444136e-09,2.9347282660363054e-09,-1.659254448575146e-09,8.438361812856159e-10,-4.1633292395722515e-10,2.0151611406623852e-10,-9.860080400630818e-11,4.80975143377568e-11,-2.4092637224967718e-11,1.1955787879311345e-11,-6.233984009049977e-12,3.144102781402308e-12,-1.7952469299082532e-12,9.6628800999308e-13,-7.650806714515666e-13
3,1.3801471611108442e-12,-2.0067669164763135e-12,2.790397130093167e-12,-4.9821278305648615e-12,8.18531989367887e-12,-1.468591393154126e-11,2.4991559721553585e-11,-4.3997866341912876e-11,7.418461644081023e-11,-1.2601218653696907e-10,2.0464756595868364e-10,-3.430028877045221e-10,6.058301833237223e-10,-1.3583673576289165e-09,3.106260558338038e-09,-6.90108315859072e-09,1.0605662784369397e-08,-9.93844145231221e-09,6.544231319518509e-09,-3.6963728938450783e-09,1.878204936660095e-09,-9.257457507732227e-10,4.477951119741972e-10,-2.1894239010255067e-10,1.0676867811899432e-10,-5.344834501962784e-11,2.6525593301198168e-11,-1.3819700860274935e-11,6.9753108107277164e-12,-3.97624472269345e-12,2.145322700608423e-12,-1.6925931791312409e-12
4,2.409915892652606e-12,-3.4849425460822187e-12,4.865176622747859e-12,-8.661872377690232e-12,1.4257592207144865e-11,-2.554716339188109e-11,4.351322363367018e-11,-7.654256457590581e-11,1.2909486036637644e-10,-2.1904379630733182e-10,3.555315588826124e-10,-5.94746238007925e-10,1.051409252782976e-09,-2.3615942891061236e-09,5.4384661033271886e-09,-1.2129553266117645e-08,1.86299651771367e-08,-1.7450409989640197e-08,1.1488858694544721e-08,-6.480293158062244e-09,3.288698988465354e-09,-1.6186839328049384e-09,7.822576251859576e-10,-3.8207696295262243e-10,1.8624296229149262e-10,-9.315195193666675e-11,4.6234692455209407e-11,-2.4060981340047203e-11,1.2157146806912584e-11,-6.9144171867664495e-12,3.742748925659465e-12,-2.9386024934935345e-12
5,3.6783980565486676e-12,-5.283130286501299e-12,7.412353007868932e-12,-1.3150130527713482e-11,2.1695977548269518e-11,-3.881202302290446e-11,6.617972885571423e-11,-1.1629406967814095e-10,1.9620446857308843e-10,-3.324414549555155e-10,5.3915930344761e-10,-8.996364439727076e-10,1.592167262175076e-09,-3.5847054808245033e-09,8.331347495651267e-09,-1.8676461993665977e-08,2.866463768336308e-08,-2.6833930545081423e-08,1.7662735446119477e-08,-9.944997369558096e-09,5.038820298741491e-09,-2.475570919528927e-09,1.1949188921034908e-09,-5.828529738510861e-10,2.839494704921657e-10,-1.4186303744597735e-10,7.04192845196029e-11,-3.659495828218866e-11,1.8513915860853304e-11,-1.0499991751313273e-11,5.7066686593925324e-12,-4.4534862379622175e-12
6,5.14512771062893e-12,-7.330828211816241e-12,1.0345675909223746e-11,-1.8277868250916793e-11,3.023902818542285e-11,-5.3990890019025325e-11,9.21810294062051e-11,-1.617852713890008e-10,2.730527718031513e-10,-4.6184302195655475e-10,7.482205456542639e-10,-1.2444746762398145e-09,2.2053211916171816e-09,-4.980458516292154e-09,1.1708981685593444e-08,-2.6415722351435386e-08,4.050830602268453e-08,-3.789180473934606e-08,2.493369135213499e-08,-1.4008441629519506e-08,7.083209660519017e-09,-3.4721567370471345e-09,1.673418271054528e-09,-8.149132605356978e-10,3.9671434709799e-10,-1.9793313329753725e-10,9.826070340793856e-11,-5.0977059309517495e-11,2.5828442500465785e-11,-1.459932548489612e-11,7.972306290936672e-12,-6.177370392245721e-12
7,6.7620849931594105e-12,-9.548341454373781e-12,1.3564271109148167e-11,-2.3852255016130377e-11,3.958368970913383e-11,-7.052254851025416e-11,1.205811848492296e-10,-2.113310829481813e-10,3.5680020930354676e-10,-6.022358126773329e-10,9.742799943067947e-10,-1.6140715182056084e-09,2.8644349517575377e-09,-6.494092893354765e-09,1.548217487847558e-08,-3.519925336152429e-08,5.3925957610593076e-08,-5.039257187150534e-08,3.3146125990836035e-08,-1.857458847680765e-08,9.368785960760683e-09,-4.580180597882812e-09,2.203363652730305e-09,-1.0708849716941285e-09,5.208551301785579e-10,-2.5945851591135e-10,1.2881030468595623e-10,-6.669627129873894e-11,3.384840966599106e-11,-1.9060003624967037e-11,1.046354127909231e-11,-8.042733984988362e-12
8,8.474748955424989e-12,-1.1850087627471555e-11,1.695543417146326e-11,-2.9663944322355134e-11,4.939478365577301e-11,-8.779428051932837e-11,1.503489167428037e-10,-2.6308766157702256e-10,4.443229249154886e-10,-7.481324859394508e-10,1.2080608089147437e-09,-1.99177984257871e-09,3.540251861989724e-09,-8.065011637355659e-09,1.955057684646963e-08,-4.4860419672395166e-08,6.865497470437821e-08,-6.407576906164529e-08,4.2124363588187574e-08,-2.3535746249558774e-08,1.183605856304165e-08,-5.768131563292282e-09,2.7687305399738203e-09,-1.342598789801498e-09,6.522907270595464e-10,-3.243412103756258e-10,1.6101874201734772e-10,-8.319267125909264e-11,4.229394673763165e-11,-2.3716584467954392e-11,1.3094863595672794e-11,-9.977272897205249e-12
9,1.0223442851124398e-11,-1.4148009723211233e-11,2.0397897319057424e-11,-3.5494787534912004e-11,5.93156334114765e-11,-1.0516346749927265e-10,1.803912835721992e-10,-3.151161233846262e-10,5.323159073703961e-10,-8.937598883138598e-10,1.4397498323249586e-09,-2.3600477089312804e-09,4.201568769098235e-09,-9.628552941981981e-09,2.3805040314192638e-08,-5.521802368413259e-08,8.44118680444371e-08,-7.865788116804899e-08,5.167648737876551e-08,-2.877520256945146e-08,1.4420618490060912e-08,-7.0021007783199166e-09,3.352308492266236e-09,-1.6213311901265218e-09,7.866635896271977e-10,-3.903556883422769e-10,1.9376847587277196e-10,-9.987635722511863e-11,5.086619273043155e-11,-2.839666918019816e-11,1.5773716726369136e-11,-1.1906836916684164e-11
