,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-9.774840276151886e-14,1.3136471535703064e-13,-1.9345537819381028e-13,3.3160159008406e-13,-5.596705047233676e-13,9.846190435464426e-13,-1.6925313681422586e-12,2.923426995187107e-12,-4.854179558785184e-12,7.740825775257108e-12,-1.0873018294139675e-11,1.1815448354863016e-11,-3.0766987064136366e-12,-2.6823055118085593e-13,-1.1469897242142999e-10,8.212273584758336e-10,-1.699471708478281e-09,1.5671501915608734e-09,-8.486319553136883e-10,3.9110029801294106e-10,-1.723446527134944e-10,7.734988364397043e-11,-3.530379939168277e-11,1.6516133515386657e-11,-7.84283959413963e-12,3.821340004117793e-12,-1.879290718554987e-12,9.557920077717034e-13,-4.868356601678913e-13,2.673889401773055e-13,-1.5065311020430756e-13,1.1057897530542701e-13
2,-1.917599313616692e-13,2.5726970766969664e-13,-3.79345604791305e-13,6.496621410533936e-13,-1.0971305323078797e-12,1.929342765540316e-12,-3.3172244173852544e-12,5.7273383201575594e-12,-9.506895797588833e-12,1.5139114858442813e-11,-2.1189494450397425e-11,2.2696582189791668e-11,-4.504467498687918e-12,-4.228194357913063e-12,-2.2100585539036068e-10,1.6238713282758314e-09,-3.370369590778622e-09,3.1075147551382148e-09,-1.6796239982970594e-09,7.722252782407676e-10,-3.3961534363023105e-10,1.5219587101394373e-10,-6.939548958491923e-11,3.243909936157309e-11,-1.539631414308434e-11,7.497715628527047e-12,-3.686645428348251e-12,1.8740690950015743e-12,-9.54753706649493e-13,5.239725011348815e-13,-2.954930597011084e-13,2.1655194597491588e-13
3,-2.7841076181496107e-13,3.7247258704455726e-13,-5.503540593637284e-13,9.411526559553718e-13,-1.590936988441188e-12,2.795745184672486e-12,-4.8086339749066245e-12,8.296603478725432e-12,-1.3763974550796612e-11,2.1865368143130754e-11,-3.041455949771504e-11,3.174846155137081e-11,-2.7012808821135898e-12,-1.543247938614317e-11,-3.1074632561531076e-10,2.3897101253825124e-09,-4.984705004392557e-09,4.5948752318623246e-09,-2.4757140176691056e-09,1.133636669258647e-09,-4.9686916547738e-10,2.2210468193549652e-10,-1.0109900979821777e-10,4.719441346800327e-11,-2.238037474499457e-11,1.0889043604986834e-11,-5.352534993318249e-12,2.7186441755664457e-12,-1.3854712816303887e-12,7.593504726550543e-13,-4.288915175289169e-13,3.1349831555547105e-13
4,-3.543017407059478e-13,4.721559788146731e-13,-6.996554849690809e-13,1.194048279949903e-12,-2.021159330496158e-12,3.5482862480924717e-12,-6.106027435535276e-12,1.052471353184614e-11,-1.744558842743179e-11,2.7615679843473457e-11,-3.805595311427718e-11,3.8153439566801934e-11,3.783170108804462e-12,-3.715970167251475e-11,-3.7617709876433914e-10,3.1012369304812153e-09,-6.515644100800325e-09,6.004133850022522e-09,-3.2203873449273185e-09,1.4660643884636643e-09,-6.394220423409077e-10,2.8478231480810216e-10,-1.2930936892806412e-10,6.024436792724139e-11,-2.853331701776656e-11,1.3864843574742328e-11,-6.812171505293137e-12,3.4559394998322928e-12,-1.7619573594210863e-12,9.639170279523567e-13,-5.45586152646486e-13,3.973598057737124e-13
5,-4.1636680719064047e-13,5.521162904530406e-13,-8.211470267503163e-13,1.397780934902012e-12,-2.3700798288315735e-12,4.155622857251295e-12,-7.155553777380083e-12,1.2317706594424142e-11,-2.0392841832130712e-11,3.212343385640917e-11,-4.3683610711155996e-11,4.120655983482308e-11,1.6206378264328464e-11,-7.228799468790871e-11,-4.101885296565464e-10,3.741997274867919e-09,-7.938046584755438e-09,7.311840953856674e-09,-3.898230153562673e-09,1.760925968099876e-09,-7.629700991731786e-10,3.3813897239195797e-10,-1.5302575603056052e-10,7.110507403386554e-11,-3.3620288247241837e-11,1.6308653328724232e-11,-8.007701036754416e-12,4.056177260570824e-12,-2.0690144471683738e-12,1.1292185858476355e-12,-6.408541600804113e-13,4.64600763957406e-13
6,-4.619761501446244e-13,6.089255519210653e-13,-9.096614653841054e-13,1.5436352691147814e-12,-2.6228276035779785e-12,4.591767702055697e-12,-7.91219396496112e-12,1.3597653826214613e-11,-2.2473674588232938e-11,3.516967114161748e-11,-4.6947214808333804e-11,4.0347030143536386e-11,3.557781534352633e-11,-1.231808111537152e-10,-4.0649387526332995e-10,4.296902997354366e-09,-9.228959794703721e-09,8.49668456912434e-09,-4.495259481621327e-09,2.0105292541865665e-09,-8.637016669362078e-10,3.803484206975075e-10,-1.7138174156780042e-10,7.936186389917474e-11,-3.744098342238865e-11,1.8121987850400943e-11,-8.89018499504931e-12,4.494437258617695e-12,-2.2938074981190523e-12,1.2482665405774212e-12,-7.106739861654671e-13,5.123448614941584e-13
7,-4.890319207321739e-13,6.400603335408486e-13,-9.61157120235231e-13,1.6250745055379948e-12,-2.7679283469599773e-12,4.8370590155856254e-12,-8.3414368481993e-12,1.430560595512412e-11,-2.35879390256314e-11,3.659186255153839e-11,-4.7591186167902245e-11,3.518488576414782e-11,6.261080262877533e-11,-1.9158785720235868e-10,-3.597992079837687e-10,4.752513862417259e-09,-1.0368054932750592e-08,9.539929072479126e-09,-4.999222136955621e-09,2.208252625279915e-09,-9.383968728297538e-10,4.0990016286289194e-10,-1.8367176632988872e-10,8.468264382152353e-11,-3.983634126272172e-11,1.9227738021114988e-11,-9.421318859591859e-12,4.7515509348418725e-12,-2.4263261985319318e-12,1.3157945065077713e-12,-7.518714271766901e-13,5.384830636638425e-13
8,-4.960525963520843e-13,6.439921093692823e-13,-9.728766086459501e-13,1.6379821067013588e-12,-2.797746610312344e-12,4.878898271195522e-12,-8.420603814048058e-12,1.4403840204673063e-11,-2.3671348050435674e-11,3.629065032875745e-11,-4.5466508515751816e-11,2.5521664831047744e-11,9.768387511552488e-11,-2.7856522848940964e-10,-2.659497597494421e-10,5.09728186324792e-09,-1.1337995791486155e-08,1.042579684780575e-08,-5.3998563173437714e-09,2.348699468957821e-09,-9.845127675520079e-10,4.256431894198483e-10,-1.8937321427041557e-10,8.682881840561154e-11,-4.0693998813515425e-11,1.957286543612297e-11,-9.574814849387833e-12,4.814792485454075e-12,-2.459760881614385e-12,1.3284488728325879e-12,-7.62244032701313e-13,5.417480866202592e-13
9,-4.822433536156581e-13,6.202376371050118e-13,-9.434699005099344e-13,1.5808143989566653e-12,-2.7088093147545652e-12,4.712241331886899e-12,-8.139797470324466e-12,1.3877397928004029e-11,-2.2698299330682262e-11,3.423443853194557e-11,-4.05390415901744e-11,1.1364808359036385e-11,1.4081158647833717e-10,-3.8441554975236325e-10,-1.220502082873361e-10,5.32174990614636e-09,-1.2124729301149734e-08,1.1141779470381206e-08,-5.689109433202531e-09,2.427822287823782e-09,-1.0002512677026465e-09,4.268198539850835e-10,-1.8816333873836737e-10,8.566339642058542e-11,-3.995235028997807e-11,1.913034182846444e-11,-9.337420739379669e-12,4.678354637611784e-12,-2.390783326431578e-12,1.2849092725678196e-12,-7.406603152705844e-13,5.217543187288716e-13
10,-4.475482641196326e-13,5.693682581945283e-13,-8.730751302525093e-13,1.4546588292863244e-12,-2.5019946641493503e-12,4.339822341211396e-12,-7.502424356744426e-12,1.2734822123827515e-11,-2.0683386695101214e-11,3.046161945697994e-11,-3.289391616817413e-11,-7.0653890474996595e-12,1.9162752530609253e-10,-5.086505230332255e-10,7.344492404563212e-11,5.41870134783509e-09,-1.2717694446086855e-08,1.1678878281506558e-08,-5.861309056525696e-09,2.4430141916894524e-09,-9.846088063622543e-10,4.1308932038730694e-10,-1.7993064040949232e-10,8.115610231387134e-11,-3.7603084313454756e-11,1.790025908950666e-11,-8.709529515795173e-12,4.343590180933916e-12,-2.219718949731512e-12,1.185934966988862e-12,-6.871282484926123e-13,4.790025723598869e-13
11,-3.9268044290620404e-13,4.929794929790443e-13,-7.633518477859667e-13,1.2631974492927845e-12,-2.182576501072861e-12,3.772104150477571e-12,-6.525268995879256e-12,1.1008074414411802e-11,-1.768152786193163e-11,2.5080328619133083e-11,-2.2735896487295175e-11,-2.933579338119121e-11,2.493787404823319e-10,-6.499766503089975e-10,3.2067353659496017e-10,5.3832535757532095e-09,-1.3109943834793633e-08,1.2031763456267279e-08,-5.913280311646276e-09,2.3931655003630166e-09,-9.374056939995767e-10,3.845395143464229e-10,-1.6478023963186514e-10,7.338528998911606e-11,-3.369208755547546e-11,1.5910067194609086e-11,-7.705352020259642e-12,3.819011351281082e-12,-1.9506009239612804e-12,1.0343370600314577e-12,-6.028284649116899e-13,4.148511243005329e-13
12,-3.191270327387954e-13,3.936243363220413e-13,-6.17463385282509e-13,1.0125798111120473e-12,-1.7601190613742777e-12,3.026960743444402e-12,-5.238110844766787e-12,8.751640599429345e-12,-1.3786716912435326e-11,1.8265797512291567e-11,-1.0385579817530481e-11,-5.480795056721978e-11,3.1293292909201676e-10,-8.063041726646107e-10,6.183434607032841e-10,5.212894594738964e-09,-1.3298175918894048e-08,1.2198854475225045e-08,-5.844409172515383e-09,2.278684409500653e-09,-8.592951621915845e-10,3.4168790973063725e-10,-1.4303329473311345e-10,6.25366942975817e-11,-2.8318710799361815e-11,1.3213954149476577e-11,-6.352649609764517e-12,3.1200537145320083e-12,-1.5911028800965156e-12,8.348804978220936e-13,-4.901089240052573e-13,3.3145639041553284e-13
