,0
0,-1.9201606008583143
1,-1.920160600858193
2,-1.9201606008580727
3,-1.9201606008579528
4,-1.9201606008578347
5,-1.9201606008577006
6,-1.9201606008575358
7,-1.920160600857312
8,-1.9201606008570047
9,-1.9201606008565713
10,-1.9201606008559717
11,-1.9201606008551528
12,-1.9201606008540657
13,-1.920160600852641
14,-1.9201606008508114
15,-1.9201606008485084
16,-1.9201606008456453
17,-1.920160600842145
18,-1.9201606008379084
19,-1.9201606008328422
20,-1.9201606008268417
21,-1.9201606008198029
22,-1.920160600811609
23,-1.920160600802138
24,-1.920160600791272
25,-1.920160600778873
26,-1.9201606007648087
27,-1.9201606007489325
28,-1.9201606007310996
29,-1.9201606007111547
30,-1.9201606006889378
31,-1.920160600664281
32,-1.920160600637013
33,-1.920160600606959
34,-1.9201606005739338
35,-1.9201606005377454
36,-1.9201606004982046
37,-1.9201606004551115
38,-1.9201606004082583
39,-1.9201606003574319
40,-1.9201606003024194
41,-1.9201606002429976
42,-1.9201606001789386
43,-1.9201606001100107
44,-1.920160600035976
45,-1.9201605999565885
46,-1.9201605998715991
47,-1.9201605997807527
48,-1.920160599683788
49,-1.9201605995804392
50,-1.9201605994704325
51,-1.9201605993534914
52,-1.9201605992293316
53,-1.9201605990976613
54,-1.9201605989581925
55,-1.9201605988106167
56,-1.920160598654633
57,-1.9201605984899266
58,-1.920160598316183
59,-1.9201605981330756
60,-1.9201605979402818
61,-1.920160597737464
62,-1.9201605975242848
63,-1.9201605973003972
64,-1.920160597065454
65,-1.9201605968190982
66,-1.92016059656097
67,-1.9201605962907013
68,-1.920160596007919
69,-1.920160595712249
70,-1.9201605954033032
71,-1.9201605950806964
72,-1.9201605947440314
73,-1.920160594392911
74,-1.9201605940269277
75,-1.920160593645674
76,-1.9201605932487293
77,-1.9201605928356753
78,-1.9201605924060852
79,-1.9201605919595237
80,-1.9201605914955535
81,-1.9201605910137354
82,-1.920160590513614
83,-1.9201605899947425
84,-1.9201605894566565
85,-1.920160588898892
86,-1.9201605883209818
87,-1.9201605877224446
88,-1.920160587102803
89,-1.9201605864615696
90,-1.9201605857982513
91,-1.920160585112355
92,-1.9201605844033747
93,-1.9201605836707984
94,-1.9201605829141202
95,-1.9201605821328225
96,-1.920160581326372
97,-1.9201605804942425
98,-1.920160579635907
99,-1.9201605787508145
100,-1.920160577838426
101,-1.9201605768981906
102,-1.92016057592955
103,-1.920160574931947
104,-1.92016057390481
105,-1.9201605728475708
106,-1.9201605717596522
107,-1.9201605706404687
108,-1.9201605694894344
109,-1.9201605683059566
110,-1.92016056708944
111,-1.9201605658392764
112,-1.9201605645548603
113,-1.9201605632355747
114,-1.9201605618808042
115,-1.9201605604899203
116,-1.9201605590622939
117,-1.9201605575972938
118,-1.9201605560942783
119,-1.9201605545525986
120,-1.9201605529716073
121,-1.9201605513506492
122,-1.9201605496890615
123,-1.920160547986181
124,-1.9201605462413331
125,-1.920160544453842
126,-1.9201605426230253
127,-1.9201605407481996
128,-1.9201605388286684
129,-1.9201605368637384
130,-1.920160534852704
131,-1.9201605327948594
132,-1.9201605306894929
133,-1.920160528535884
134,-1.920160526333313
135,-1.920160524081048
136,-1.9201605217783602
137,-1.9201605194245093
138,-1.920160517018752
139,-1.9201605145603415
140,-1.9201605120485228
141,-1.920160509482535
142,-1.9201605068616177
143,-1.9201605041850014
144,-1.9201605014519134
145,-1.920160498661573
146,-1.9201604958131964
147,-1.920160492905996
148,-1.920160489939176
149,-1.9201604869119384
150,-1.920160483823476
151,-1.920160480672985
152,-1.9201604774596484
153,-1.9201604741826444
154,-1.9201604708411524
155,-1.920160467434342
156,-1.9201604639613774
157,-1.9201604604214215
158,-1.9201604568136301
159,-1.9201604531371528
160,-1.920160449391136
161,-1.9201604455747212
162,-1.9201604416870404
163,-1.9201604377272279
164,-1.9201604336944054
165,-1.920160429587701
166,-1.9201604254062246
167,-1.9201604211490881
168,-1.9201604168153965
169,-1.920160412404253
170,-1.920160407914755
171,-1.920160403345994
172,-1.9201603986970488
173,-1.9201603939670107
174,-1.9201603891549506
175,-1.92016038425994
176,-1.9201603792810484
177,-1.9201603742173377
178,-1.9201603690678621
179,-1.9201603638316769
180,-1.920160358507823
181,-1.920160353095354
182,-1.9201603475932933
183,-1.9201603420006834
184,-1.9201603363165511
185,-1.9201603305399138
186,-1.9201603246697965
187,-1.9201603187052045
188,-1.920160312645153
189,-1.9201603064886403
190,-1.9201603002346683
191,-1.9201602938822324
192,-1.9201602874303174
193,-1.9201602808779086
194,-1.9201602742239903
195,-1.920160267467526
196,-1.9201602606074961
197,-1.9201602536428624
198,-1.9201602465725824
199,-1.9201602393956185
200,-1.9201602321109101
201,-1.9201602247174137
202,-1.920160217214065
203,-1.9201602095998012
204,-1.9201602018735544
205,-1.92016019403425
206,-1.9201601860808153
207,-1.9201601780121638
208,-1.9201601698272048
209,-1.9201601615248527
210,-1.9201601531040073
211,-1.9201601445635683
212,-1.9201601359024307
213,-1.9201601271194804
214,-1.9201601182136039
215,-1.9201601091836822
216,-1.9201601000285882
217,-1.9201600907471947
218,-1.9201600813383655
219,-1.9201600718009648
220,-1.920160062133843
221,-1.9201600523358584
222,-1.9201600424058531
223,-1.9201600323426735
224,-1.920160022145153
225,-1.9201600118121274
226,-1.9201600013424236
227,-1.9201599907348674
228,-1.9201599799882758
229,-1.9201599691014644
230,-1.9201599580732438
231,-1.9201599469024186
232,-1.9201599355877903
233,-1.920159924128154
234,-1.9201599125223
235,-1.9201599007690162
236,-1.920159888867087
237,-1.9201598768152879
238,-1.9201598646123936
239,-1.9201598522571737
240,-1.9201598397483908
241,-1.920159827084801
242,-1.9201598142651655
243,-1.9201598012882317
244,-1.9201597881527457
245,-1.9201597748574484
246,-1.9201597614010768
247,-1.920159747782363
248,-1.9201597340000371
249,-1.9201597200528195
250,-1.9201597059394295
251,-1.9201596916585846
252,-1.9201596772089893
253,-1.9201596625893567
254,-1.9201596477983784
255,-1.9201596328347579
256,-1.920159617697185
257,-1.920159602384346
258,-1.9201595868949255
259,-1.9201595712275994
260,-1.9201595553810438
261,-1.9201595393539272
262,-1.9201595231449136
263,-1.9201595067526647
264,-1.920159490175835
265,-1.9201594734130767
266,-1.920159456463037
267,-1.9201594393243573
268,-1.920159421995678
269,-1.920159404475632
270,-1.9201593867628484
271,-1.9201593688559533
272,-1.9201593507535653
273,-1.9201593324543023
274,-1.920159313956777
275,-1.920159295259598
276,-1.9201592763613622
277,-1.9201592572606767
278,-1.9201592379561303
279,-1.9201592184463108
280,-1.9201591987298108
281,-1.9201591788052075
282,-1.9201591586710753
283,-1.9201591383259897
284,-1.920159117768514
285,-1.9201590969972218
286,-1.9201590760106644
287,-1.9201590548074021
288,-1.9201590333859824
289,-1.9201590117449525
290,-1.9201589898828586
291,-1.920158967798237
292,-1.9201589454896242
293,-1.9201589229555447
294,-1.9201589001945263
295,-1.9201588772050897
296,-1.9201588539857535
297,-1.9201588305350281
298,-1.9201588068514228
299,-1.9201587829334366
300,-1.9201587587795745
301,-1.9201587343883295
302,-1.9201587097581863
303,-1.920158684887641
304,-1.9201586597751685
305,-1.9201586344192485
306,-1.920158608818356
307,-1.920158582970957
308,-1.9201585568755224
309,-1.9201585305305078
310,-1.920158503934374
311,-1.9201584770855717
312,-1.9201584499825497
313,-1.920158422623754
314,-1.9201583950076255
315,-1.9201583671325926
316,-1.9201583389970973
317,-1.9201583105995552
318,-1.9201582819383982
319,-1.9201582530120405
320,-1.9201582238189032
321,-1.9201581943573864
322,-1.920158164625899
323,-1.9201581346228442
324,-1.92015810434662
325,-1.920158073795625
326,-1.9201580429682412
327,-1.9201580118628572
328,-1.9201579804778564
329,-1.9201579488116187
330,-1.9201579168625145
331,-1.9201578846289133
332,-1.9201578521091855
333,-1.9201578193016897
334,-1.9201577862047823
335,-1.9201577528168214
336,-1.9201577191361512
337,-1.9201576851611208
338,-1.92015765089007
339,-1.9201576163213323
340,-1.920157581453243
341,-1.9201575462841278
342,-1.9201575108123157
343,-1.920157475036119
344,-1.9201574389538614
345,-1.920157402563849
