,0
0,-1.9201606008583143
1,-1.9201606399175075
2,-1.9201606399771838
3,-1.9201606400349092
4,-1.9201606400936013
5,-1.920160640152242
6,-1.92016064021082
7,-1.9201606402693083
8,-1.9201606403276656
9,-1.9201606403858626
10,-1.9201606404438447
11,-1.920160640501563
12,-1.9201606405589597
13,-1.920160640615968
14,-1.920160640672525
15,-1.9201606407285468
16,-1.920160640783962
17,-1.9201606408386738
18,-1.9201606408925986
19,-1.9201606409456335
20,-1.9201606409976755
21,-1.9201606410486134
22,-1.920160641098334
23,-1.9201606411467145
24,-1.920160641193624
25,-1.9201606412389371
26,-1.9201606412825099
27,-1.9201606413242027
28,-1.9201606413638608
29,-1.9201606414013295
30,-1.9201606414364494
31,-1.9201606414690509
32,-1.9201606414989651
33,-1.9201606415260106
34,-1.9201606415500012
35,-1.9201606415707495
36,-1.9201606415880623
37,-1.9201606416017336
38,-1.9201606416115613
39,-1.9201606416173305
40,-1.9201606416188235
41,-1.9201606416158166
42,-1.9201606416080788
43,-1.9201606415953765
44,-1.9201606415774704
45,-1.9201606415541108
46,-1.9201606415250505
47,-1.9201606414900287
48,-1.9201606414487813
49,-1.9201606414010421
50,-1.9201606413465364
51,-1.920160641284982
52,-1.9201606412160968
53,-1.9201606411395877
54,-1.9201606410551597
55,-1.9201606409625116
56,-1.9201606408613312
57,-1.9201606407513077
58,-1.9201606406321226
59,-1.9201606405034517
60,-1.9201606403649665
61,-1.920160640216329
62,-1.920160640057201
63,-1.9201606398872353
64,-1.9201606397060784
65,-1.9201606395133735
66,-1.9201606393087607
67,-1.9201606390918666
68,-1.92016063886232
69,-1.9201606386197403
70,-1.9201606383637464
71,-1.920160638093943
72,-1.920160637809936
73,-1.9201606375113278
74,-1.920160637197708
75,-1.9201606368686641
76,-1.920160636523779
77,-1.9201606361626333
78,-1.920160635784793
79,-1.920160635389827
80,-1.9201606349772975
81,-1.9201606345467601
82,-1.920160634097758
83,-1.9201606336298456
84,-1.9201606331425554
85,-1.920160632635426
86,-1.920160632107979
87,-1.9201606315597428
88,-1.9201606309902335
89,-1.9201606303989651
90,-1.9201606297854434
91,-1.9201606291491666
92,-1.9201606284896369
93,-1.9201606278063377
94,-1.9201606270987606
95,-1.920160626366385
96,-1.9201606256086872
97,-1.9201606248251313
98,-1.9201606240151845
99,-1.9201606231783068
100,-1.9201606223139525
101,-1.9201606214215663
102,-1.9201606205005954
103,-1.9201606195504741
104,-1.9201606185706352
105,-1.9201606175605064
106,-1.9201606165195129
107,-1.9201606154470685
108,-1.9201606143425853
109,-1.9201606132054674
110,-1.9201606120351182
111,-1.92016061083093
112,-1.9201606095922998
113,-1.9201606083186085
114,-1.9201606070092354
115,-1.9201606056635563
116,-1.9201606042809396
117,-1.9201606028607499
118,-1.920160601402349
119,-1.9201605999050857
120,-1.920160598368318
121,-1.9201605967913808
122,-1.9201605951736158
123,-1.920160593514355
124,-1.920160591812928
125,-1.9201605900686571
126,-1.9201605882808574
127,-1.920160586448847
128,-1.9201605845719292
129,-1.9201605826494066
130,-1.920160580680578
131,-1.9201605786647344
132,-1.920160576601162
133,-1.9201605744891426
134,-1.9201605723279562
135,-1.9201605701168711
136,-1.9201605678551528
137,-1.9201605655420644
138,-1.9201605631768648
139,-1.9201605607588004
140,-1.920160558287118
141,-1.9201605557610608
142,-1.9201605531798638
143,-1.92016055054276
144,-1.9201605478489712
145,-1.9201605450977204
146,-1.9201605422882233
147,-1.92016053941969
148,-1.9201605364913266
149,-1.920160533502334
150,-1.9201605304519074
151,-1.9201605273392377
152,-1.92016052416351
153,-1.9201605209239045
154,-1.9201605176195988
155,-1.9201605142497606
156,-1.92016051081356
157,-1.9201605073101495
158,-1.9201605037386926
159,-1.9201605000983353
160,-1.9201604963882244
161,-1.9201604926075038
162,-1.9201604887553048
163,-1.9201604848307618
164,-1.9201604808329944
165,-1.9201604767611302
166,-1.9201604726142807
167,-1.9201604683915598
168,-1.920160464092075
169,-1.9201604597149209
170,-1.9201604552591989
171,-1.920160450724
172,-1.9201604461084094
173,-1.9201604414115083
174,-1.9201604366323721
175,-1.9201604317700793
176,-1.920160426823688
177,-1.9201604217922639
178,-1.920160416674865
179,-1.9201604114705413
180,-1.9201604061783426
181,-1.9201604007973079
182,-1.9201603953264814
183,-1.920160389764888
184,-1.9201603841115609
185,-1.9201603783655217
186,-1.9201603725257872
187,-1.9201603665913716
188,-1.9201603605612827
189,-1.920160354434528
190,-1.9201603482101017
191,-1.920160341887002
192,-1.9201603354642165
