,0
0,-1.9201606008583232
1,-1.92016105788331
2,-1.920161067250619
3,-1.9201610762662589
4,-1.9201610849595436
5,-1.920161093323379
6,-1.9201611013607573
7,-1.9201611090742552
8,-1.9201611164664274
9,-1.920161123539828
10,-1.9201611302969916
11,-1.9201611367404423
12,-1.9201611428726952
13,-1.9201611486962502
14,-1.9201611542135968
15,-1.9201611594272103
16,-1.9201611643395573
17,-1.9201611689530882
18,-1.92016117327025
19,-1.9201611772934668
20,-1.9201611810251542
21,-1.9201611844677258
22,-1.920161187623565
23,-1.9201611904950577
24,-1.9201611930845761
25,-1.920161195394472
26,-1.9201611974270927
27,-1.9201611991847773
28,-1.9201612006698405
29,-1.9201612018845977
30,-1.9201612028313417
31,-1.9201612035123614
32,-1.9201612039299318
33,-1.9201612040863116
34,-1.9201612039837563
35,-1.9201612036245002
36,-1.920161203010771
37,-1.920161202144783
38,-1.9201612010287414
39,-1.9201611996648356
40,-1.9201611980552435
41,-1.9201611962021334
42,-1.92016119410766
43,-1.9201611917739663
44,-1.9201611892031867
45,-1.9201611863974404
46,-1.9201611833588337
47,-1.9201611800894627
48,-1.9201611765914128
49,-1.920161172866758
50,-1.9201611689175566
51,-1.9201611647458567
52,-1.9201611603536977
53,-1.9201611557431035
54,-1.9201611509160865
55,-1.9201611458746504
56,-1.9201611406207815
57,-1.9201611351564623
58,-1.920161129483657
59,-1.92016112360432
60,-1.9201611175203919
61,-1.9201611112338086
62,-1.920161104746482
63,-1.920161098060324
64,-1.920161091177229
65,-1.9201610840990813
66,-1.920161076827756
67,-1.9201610693651054
68,-1.9201610617129825
69,-1.920161053873227
70,-1.9201610458476566
71,-1.9201610376380924
72,-1.9201610292463305
73,-1.92016102067416
74,-1.9201610119233652
75,-1.920161002995704
76,-1.9201609938929378
77,-1.9201609846168068
78,-1.920160975169042
79,-1.920160965551363
80,-1.9201609557654775
81,-1.9201609458130817
82,-1.920160935695859
83,-1.9201609254154848
84,-1.9201609149736156
85,-1.9201609043719023
86,-1.9201608936119845
87,-1.9201608826954888
88,-1.9201608716240242
89,-1.9201608603991982
90,-1.920160849022598
91,-1.9201608374958066
92,-1.920160825820389
93,-1.9201608139979052
94,-1.9201608020298928
95,-1.9201607899178876
96,-1.9201607776634138
97,-1.9201607652679735
98,-1.9201607527330724
99,-1.9201607400601897
100,-1.9201607272508059
101,-1.9201607143063786
102,-1.920160701228363
103,-1.920160688018199
104,-1.9201606746773079
105,-1.920160661207111
106,-1.920160647609018
107,-1.920160633884414
108,-1.9201606200346846
109,-1.9201606060611986
110,-1.920160591965316
111,-1.9201605777483808
112,-1.9201605634117334
113,-1.920160548956694
114,-1.9201605343845722
115,-1.920160519696673
116,-1.9201605048942851
117,-1.9201604899786848
118,-1.9201604749511372
119,-1.920160459812899
120,-1.9201604445652127
121,-1.9201604292093073
122,-1.920160413746408
123,-1.9201603981777153
124,-1.9201603825044327
125,-1.9201603667277407
126,-1.9201603508488159
127,-1.9201603348688216
128,-1.920160318788903
129,-1.9201603026102054
130,-1.920160286333855
131,-1.9201602699609648
132,-1.9201602534926443
133,-1.9201602369299824
134,-1.9201602202740662
135,-1.9201602035259602
136,-1.920160186686728
137,-1.9201601697574135
138,-1.920160152739053
139,-1.9201601356326714
140,-1.9201601184392842
141,-1.9201601011598886
142,-1.9201600837954813
143,-1.9201600663470337
144,-1.9201600488155153
145,-1.920160031201886
146,-1.9201600135070835
147,-1.9201599957320434
148,-1.920159977877689
149,-1.9201599599449297
150,-1.920159941934664
151,-1.9201599238477765
152,-1.9201599056851473
153,-1.9201598874476375
154,-1.9201598691361021
155,-1.9201598507513817
156,-1.920159832294309
157,-1.9201598137657
158,-1.9201597951663643
159,-1.920159776497095
160,-1.9201597577586793
161,-1.9201597389518898
162,-1.92015972007749
163,-1.920159701136229
164,-1.9201596821288436
165,-1.9201596630560664
166,-1.9201596439186135
167,-1.92015962471719
168,-1.9201596054524859
169,-1.9201595861251897
170,-1.9201595667359697
171,-1.9201595472854862
172,-1.9201595277743868
173,-1.9201595082033092
174,-1.9201594885728812
175,-1.920159468883718
176,-1.92015944913642
177,-1.92015942933158
178,-1.9201594094697798
179,-1.9201593895515914
180,-1.920159369577568
181,-1.9201593495482583
182,-1.9201593294642003
183,-1.9201593093259137
184,-1.9201592891339176
185,-1.9201592688887108
186,-1.9201592485907852
187,-1.920159228240617
188,-1.9201592078386769
189,-1.9201591873854236
190,-1.9201591668813025
191,-1.920159146326741
192,-1.920159125722173
193,-1.9201591050680031
194,-1.9201590843646317
195,-1.9201590636124526
196,-1.920159042811839
197,-1.9201590219631663
198,-1.920159001066783
199,-1.9201589801230337
200,-1.9201589591322548
201,-1.9201589380947701
202,-1.920158917010887
203,-1.9201588958809088
204,-1.9201588747051201
205,-1.9201588534838008
206,-1.9201588322172203
207,-1.9201588109056296
208,-1.9201587895492715
209,-1.920158768148382
210,-1.9201587467031844
211,-1.9201587252138874
212,-1.92015870368069
213,-1.920158682103776
214,-1.9201586604833354
215,-1.9201586388195242
216,-1.9201586171124987
217,-1.920158595362404
218,-1.9201585735693691
219,-1.9201585517335222
220,-1.9201585298549664
221,-1.9201585079338073
222,-1.9201584859701293
223,-1.9201584639640137
224,-1.9201584419155227
225,-1.9201584198247135
226,-1.9201583976916283
227,-1.9201583755163014
228,-1.9201583532987523
229,-1.9201583310389947
230,-1.9201583087370282
231,-1.9201582863928377
232,-1.920158264006404
233,-1.9201582415776923
234,-1.9201582191066593
235,-1.9201581965932477
236,-1.9201581740373936
237,-1.9201581514390158
238,-1.9201581287980272
239,-1.9201581061143296
240,-1.9201580833878085
241,-1.9201580606183444
242,-1.9201580378058059
243,-1.9201580149500472
244,-1.920157992050914
245,-1.9201579691082418
246,-1.9201579461218503
247,-1.9201579230915558
248,-1.9201579000171582
249,-1.9201578768984469
250,-1.9201578537352018
251,-1.9201578305271907
252,-1.9201578072741734
253,-1.9201577839758928
254,-1.9201577606320854
255,-1.9201577372424774
256,-1.920157713806781
257,-1.9201576903246984
258,-1.920157666795923
259,-1.9201576432201342
260,-1.9201576195970036
261,-1.9201575959261863
262,-1.920157572207334
263,-1.9201575484400824
264,-1.9201575246240585
265,-1.9201575007588763
266,-1.920157476844139
267,-1.9201574528794456
268,-1.920157428864374
269,-1.9201574047984953
270,-1.9201573806813714
271,-1.9201573565125538
272,-1.9201573322915793
273,-1.9201573080179788
274,-1.9201572836912675
275,-1.9201572593109524
276,-1.9201572348765295
277,-1.9201572103874822
278,-1.9201571858432849
279,-1.9201571612434023
280,-1.9201571365872874
281,-1.9201571118743783
282,-1.9201570871041058
283,-1.9201570622758939
284,-1.920157037389147
285,-1.920157012443266
286,-1.9201569874376347
287,-1.9201569623716366
288,-1.920156937244632
289,-1.9201569120559752
290,-1.9201568868050112
291,-1.920156861491078
292,-1.9201568361134944
293,-1.9201568106715734
294,-1.920156785164612
295,-1.920156759591901
296,-1.9201567339527257
297,-1.9201567082463549
298,-1.920156682472038
299,-1.9201566566290293
300,-1.9201566307165638
301,-1.9201566047338683
302,-1.920156578680157
303,-1.9201565525546358
304,-1.9201565263564926
305,-1.9201565000849143
306,-1.9201564737390777
307,-1.9201564473181363
308,-1.9201564208212445
309,-1.9201563942475435
310,-1.9201563675961588
311,-1.9201563408662135
312,-1.9201563140568139
313,-1.920156287167059
314,-1.9201562601960318
315,-1.9201562331428086
