,0
0,-1.9201606008583143
1,-1.9201605973297733
2,-1.9201605972630236
3,-1.9201605972007285
4,-1.9201605971422606
5,-1.9201605970870896
6,-1.920160597034417
7,-1.9201605969832496
8,-1.920160596932421
9,-1.9201605968805642
10,-1.9201605968261477
11,-1.920160596767444
12,-1.9201605967025452
13,-1.9201605966293664
14,-1.920160596545637
15,-1.9201605964489032
16,-1.9201605963365331
17,-1.9201605962057244
18,-1.9201605960534787
19,-1.9201605958766352
20,-1.9201605956718488
21,-1.9201605954355965
22,-1.920160595164179
23,-1.92016059485373
24,-1.920160594500198
25,-1.9201605940993662
26,-1.9201605936468376
27,-1.920160593138049
28,-1.9201605925682625
29,-1.9201605919325706
30,-1.9201605912258932
31,-1.9201605904429844
32,-1.9201605895784302
33,-1.920160588626647
34,-1.9201605875818855
35,-1.9201605864382305
36,-1.9201605851896022
37,-1.9201605838297535
38,-1.920160582352278
39,-1.9201605807506006
40,-1.9201605790179963
41,-1.920160577147564
42,-1.9201605751322566
43,-1.920160572964856
44,-1.9201605706379965
45,-1.9201605681441443
46,-1.920160565475618
47,-1.9201605626245732
48,-1.9201605595830165
49,-1.9201605563427964
50,-1.920160552895609
51,-1.9201605492330005
52,-1.9201605453463646
53,-1.9201605412269407
54,-1.920160536865823
55,-1.9201605322539539
56,-1.9201605273821305
57,-1.9201605222410012
58,-1.9201605168210696
59,-1.9201605111126905
60,-1.9201605051060788
61,-1.9201604987913
62,-1.9201604921582822
63,-1.9201604851968077
64,-1.9201604778965211
65,-1.9201604702469242
66,-1.9201604622373782
67,-1.9201604538571129
68,-1.9201604450952132
69,-1.9201604359406246
70,-1.9201604263821626
71,-1.9201604164085078
72,-1.9201604060082
73,-1.9201603951696562
74,-1.9201603838811487
75,-1.9201603721308214
76,-1.9201603599066934
77,-1.9201603471966426
78,-1.9201603339884277
79,-1.9201603202696713
80,-1.9201603060278716
81,-1.920160291250396
82,-1.9201602759244887
83,-1.920160260037262
84,-1.9201602435757108
85,-1.9201602265267317
86,-1.9201602088771792
87,-1.9201601906137564
88,-1.9201601717230532
89,-1.9201601521915417
90,-1.920160132005563
91,-1.9201601111513487
92,-1.9201600896150066
93,-1.920160067382525
94,-1.9201600444397826
95,-1.9201600207725278
96,-1.9201599963663991
97,-1.9201599712069206
98,-1.920159945279503
99,-1.9201599185694378
100,-1.920159891061909
101,-1.9201598627419845
102,-1.9201598335946248
103,-1.9201598036046716
104,-1.9201597727568651
105,-1.9201597410358313
106,-1.9201597084260937
107,-1.9201596749120564
108,-1.9201596404780275
109,-1.920159605108204
110,-1.9201595687866821
111,-1.920159531497446
112,-1.9201594932243826
113,-1.9201594539512676
114,-1.9201594136617839
115,-1.9201593723395072
116,-1.920159329967908
117,-1.9201592865303638
118,-1.9201592420101377
119,-1.9201591963903852
120,-1.9201591496541526
121,-1.9201591017843969
122,-1.9201590527639674
