,0
0,-1.9201606008583143
1,-1.920160600858193
2,-1.9201606008580656
3,-1.9201606008578294
4,-1.9201606008572019
5,-1.9201606008556982
6,-1.9201606008526473
7,-1.92016060084718
8,-1.92016060083825
9,-1.9201606008246057
10,-1.9201606008048113
11,-1.9201606007772503
12,-1.9201606007401142
13,-1.9201606006914052
14,-1.920160600628945
15,-1.9201606005503749
16,-1.9201606004531455
17,-1.9201606003345293
18,-1.92016060019162
19,-1.9201606000213252
20,-1.9201605998203832
21,-1.9201605995853464
22,-1.9201605993125899
23,-1.9201605989983115
24,-1.9201605986385428
25,-1.9201605982291259
26,-1.9201605977657454
27,-1.920160597243898
28,-1.9201605966589166
29,-1.920160596005963
30,-1.9201605952800231
31,-1.9201605944759184
32,-1.9201605935882977
33,-1.920160592611646
34,-1.9201605915402773
35,-1.9201605903683414
36,-1.9201605890898308
37,-1.920160587698554
38,-1.9201605861881812
39,-1.9201605845522018
40,-1.920160582783954
41,-1.9201605808766078
42,-1.9201605788231793
43,-1.9201605766165204
44,-1.9201605742493322
45,-1.9201605717141508
46,-1.920160569003361
47,-1.920160566109189
48,-1.9201605630237095
49,-1.9201605597388394
50,-1.920160556246345
51,-1.92016055253784
52,-1.9201605486047844
53,-1.920160544438489
54,-1.9201605400301167
55,-1.9201605353706794
56,-1.9201605304510414
57,-1.9201605252619194
58,-1.920160519793885
59,-1.9201605140373603
60,-1.9201605079826298
61,-1.9201605016198293
62,-1.9201604949389517
63,-1.9201604879298477
64,-1.9201604805822274
65,-1.9201604728856583
66,-1.9201604648295767
67,-1.9201604564032677
68,-1.920160447595881
69,-1.9201604383964384
70,-1.9201604287938143
71,-1.9201604187767471
72,-1.9201604083338522
73,-1.9201603974535977
74,-1.9201603861243233
75,-1.9201603743342384
76,-1.920160362071416
77,-1.9201603493238029
78,-1.9201603360792143
79,-1.920160322325334
80,-1.9201603080497147
81,-1.9201602932397925
82,-1.9201602778828617
83,-1.9201602619661022
84,-1.9201602454765636
85,-1.9201602284011696
86,-1.920160210726718
87,-1.9201601924398943
88,-1.920160173527249
89,-1.9201601539752167
90,-1.920160133770112
91,-1.9201601128981278
92,-1.9201600913453376
93,-1.9201600690976957
94,-1.9201600461410377
95,-1.9201600224610909
96,-1.9201599980434523
97,-1.9201599728736145
98,-1.9201599469369506
99,-1.9201599202187163
100,-1.920159892704063
101,-1.9201598643780255
102,-1.9201598352255238
103,-1.9201598052313642
104,-1.920159774380255
105,-1.920159742656785
106,-1.9201597100454366
107,-1.920159676530584
108,-1.9201596420964933
109,-1.920159606727327
110,-1.9201595704071353
111,-1.9201595331198669
112,-1.9201594948493734
113,-1.9201594555793888
114,-1.9201594152935506
115,-1.9201593739753986
116,-1.9201593316083638
117,-1.9201592881757774
118,-1.9201592436608768
119,-1.9201591980467891
120,-1.9201591513165521
121,-1.920159103453102
122,-1.920159054439274
123,-1.9201590042578145
124,-1.9201589528913652
125,-1.9201589003224777
126,-1.920158846533611
127,-1.9201587915071237
128,-1.9201587352252814
129,-1.9201586776702686
130,-1.9201586188241637
131,-1.9201585586689607
132,-1.9201584971865615
133,-1.9201584343587772
134,-1.920158370167333
135,-1.9201583045938624
136,-1.9201582376199142
137,-1.9201581692269474
138,-1.9201580993963296
139,-1.9201580281093564
140,-1.9201579553472237
141,-1.920157881091051
142,-1.9201578053218706
143,-1.9201577280206368
144,-1.9201576491682122
145,-1.9201575687453807
146,-1.9201574867328532
147,-1.920157403111248
148,-1.9201573178611082
149,-1.9201572309629
150,-1.9201571423970067
151,-1.920157052143737
152,-1.9201569601833195
153,-1.9201568664959083
154,-1.9201567710615763
155,-1.9201566738603284
156,-1.9201565748720855
157,-1.9201564740767019
158,-1.9201563714539542
159,-1.9201562669835441
160,-1.9201561606451065
161,-1.920156052418199
162,-1.9201559422823133
163,-1.9201558302168635
164,-1.9201557162011982
165,-1.9201556002145947
166,-1.9201554822362592
167,-1.920155362245339
168,-1.9201552402209026
169,-1.920155116141955
170,-1.9201549899874353
171,-1.9201548617362199
172,-1.9201547313671123
173,-1.920154598858855
174,-1.92015446419013
175,-1.9201543273395507
176,-1.920154188285669
177,-1.9201540470069762
178,-1.9201539034818964
179,-1.9201537576887961
180,-1.9201536096059821
181,-1.920153459211698
182,-1.9201533064841274
183,-1.9201531514014007
184,-1.9201529939415813
185,-1.920152834082681
186,-1.9201526718026494
187,-1.9201525070793846
188,-1.9201523398907216
189,-1.9201521702144468
190,-1.9201519980282846
191,-1.920151823309911
192,-1.9201516460369419
193,-1.9201514661869408
194,-1.9201512837374204
195,-1.9201510986658428
196,-1.9201509109496135
197,-1.9201507205660833
198,-1.9201505274925643
199,-1.9201503317063056
200,-1.9201501331845137
201,-1.9201499319043367
202,-1.9201497278428898
203,-1.9201495209772221
204,-1.920149311284344
205,-1.9201490987412217
206,-1.920148883324766
207,-1.9201486650118458
208,-1.9201484437792846
209,-1.920148219603858
210,-1.9201479924623008
211,-1.920147762331299
212,-1.9201475291874956
213,-1.9201472930074908
214,-1.920147053767841
215,-1.920146811445067
216,-1.9201465660156365
217,-1.9201463174559805
218,-1.9201460657424931
219,-1.9201458108515261
220,-1.920145552759379
221,-1.9201452914423323
222,-1.9201450268766136
223,-1.9201447590384157
224,-1.9201444879038934
225,-1.9201442134491575
226,-1.9201439356502932
227,-1.9201436544833421
228,-1.9201433699243107
229,-1.9201430819491656
230,-1.9201427905338453
231,-1.9201424956542472
232,-1.9201421972862391
233,-1.9201418954056497
234,-1.9201415899882792
235,-1.9201412810098861
236,-1.9201409684462103
237,-1.9201406522729454
238,-1.9201403324657589
239,-1.9201400090002894
240,-1.9201396818521408
241,-1.9201393509968825
242,-1.9201390164100682
243,-1.9201386780672047
244,-1.9201383359437805
245,-1.9201379900152493
246,-1.920137640257039
247,-1.9201372866445516
248,-1.9201369291531574
249,-1.9201365677582016
250,-1.920136202435001
251,-1.9201358331588492
252,-1.920135459905012
253,-1.920135082648728
254,-1.9201347013652144
255,-1.920134316029659
256,-1.9201339266172264
257,-1.9201335331030598
258,-1.9201331354622795
259,-1.9201327336699743
260,-1.9201323277012188
261,-1.920131917531064
262,-1.9201315031345332
263,-1.920131084486636
264,-1.9201306615623515
265,-1.9201302343366469
266,-1.9201298027844627
267,-1.9201293668807242
268,-1.9201289266003312
269,-1.9201284819181699
270,-1.9201280328091026
271,-1.920127579247974
272,-1.9201271212096187
273,-1.9201266586688353
274,-1.9201261916004224
275,-1.9201257199791542
276,-1.9201252437797853
277,-1.9201247629770601
278,-1.9201242775457046
279,-1.9201237874604251
280,-1.9201232926959166
281,-1.9201227932268576
282,-1.9201222890279084
283,-1.920121780073726
284,-1.9201212663389398
285,-1.9201207477981725
286,-1.9201202244260358
287,-1.92011969619712
288,-1.9201191630860124
289,-1.9201186250672833
290,-1.92011808211549
291,-1.9201175342051773
292,-1.920116981310883
293,-1.9201164234071335
294,-1.9201158604684379
295,-1.9201152924693012
296,-1.9201147193842192
297,-1.9201141411876699
298,-1.920113557854128
299,-1.9201129693580619
300,-1.9201123756739218
301,-1.9201117767761553
302,-1.9201111726391993
303,-1.920110563237487
304,-1.92010994854544
305,-1.9201093285374746
306,-1.9201087031879993
307,-1.9201080724714132
308,-1.9201074363621182
309,-1.9201067948344983
310,-1.920106147862942
311,-1.9201054954218235
312,-1.9201048374855185
313,-1.9201041740283924
314,-1.920103505024815
315,-1.9201028304491397
316,-1.920102150275722
317,-1.920101464478917
318,-1.9201007730330648
319,-1.920100075912516
320,-1.9200993730916074
321,-1.9200986645446814
322,-1.92009795024607
323,-1.920097230170112
324,-1.9200965042911355
325,-1.9200957725834744
326,-1.9200950350214567
327,-1.9200942915794093
328,-1.9200935422316667
329,-1.920092786952552
330,-1.920092025716397
331,-1.9200912584975258
332,-1.9200904852702685
333,-1.9200897060089552
334,-1.9200889206879115
335,-1.9200881292814773
336,-1.9200873317639755
337,-1.9200865281097435
338,-1.9200857182931137
339,-1.9200849022884277
340,-1.92008408007002
341,-1.9200832516122337
342,-1.920082416889413
343,-1.9200815758759053
344,-1.9200807285460604
