,0
0,-1.6424478330547745
1,-1.6424478330547008
2,-1.642447833054627
3,-1.6424478330545533
4,-1.64244783305448
5,-1.6424478330544032
6,-1.642447833054313
7,-1.6424478330542043
8,-1.6424478330540622
9,-1.6424478330538752
10,-1.642447833053631
11,-1.642447833053305
12,-1.6424478330528818
13,-1.6424478330523364
14,-1.642447833051644
15,-1.6424478330507786
16,-1.642447833049711
17,-1.6424478330484085
18,-1.642447833046836
19,-1.6424478330449552
20,-1.6424478330427335
21,-1.6424478330401244
22,-1.6424478330370869
23,-1.6424478330335763
24,-1.6424478330295444
25,-1.6424478330249397
26,-1.6424478330197123
27,-1.6424478330138086
28,-1.642447833007169
29,-1.6424478329997403
30,-1.6424478329914571
31,-1.6424478329822592
32,-1.6424478329720829
33,-1.642447832960862
34,-1.642447832948523
35,-1.642447832935
36,-1.6424478329202181
37,-1.6424478329041003
38,-1.6424478328865721
39,-1.6424478328675545
40,-1.6424478328469665
41,-1.6424478328247216
42,-1.6424478328007377
43,-1.6424478327749263
44,-1.6424478327471979
45,-1.642447832717463
46,-1.642447832685623
47,-1.6424478326515877
48,-1.6424478326152563
49,-1.642447832576529
50,-1.6424478325353038
51,-1.6424478324914766
52,-1.6424478324449436
53,-1.6424478323955938
54,-1.6424478323433178
55,-1.6424478322880012
56,-1.6424478322295324
57,-1.6424478321677929
58,-1.6424478321026654
59,-1.6424478320340274
60,-1.6424478319617541
61,-1.6424478318857239
62,-1.6424478318058073
63,-1.6424478317218758
64,-1.6424478316337974
65,-1.6424478315414406
66,-1.642447831444666
67,-1.6424478313433386
68,-1.642447831237318
69,-1.6424478311264628
70,-1.6424478310106292
71,-1.64244783088967
72,-1.6424478307634398
73,-1.642447830631787
74,-1.6424478304945598
75,-1.642447830351604
76,-1.6424478302027639
77,-1.642447830047881
78,-1.6424478298867966
79,-1.6424478297193466
80,-1.642447829545367
81,-1.642447829364693
82,-1.6424478291771554
83,-1.6424478289825852
84,-1.642447828780808
85,-1.6424478285716504
86,-1.642447828354938
87,-1.6424478281304904
88,-1.6424478278981278
89,-1.6424478276576668
90,-1.6424478274089245
91,-1.6424478271517124
92,-1.6424478268858451
93,-1.6424478266111298
94,-1.642447826327374
95,-1.642447826034384
96,-1.6424478257319637
97,-1.6424478254199146
98,-1.6424478250980339
99,-1.6424478247661207
100,-1.6424478244239704
101,-1.6424478240713756
102,-1.6424478237081288
103,-1.6424478233340192
104,-1.642447822948833
105,-1.6424478225523578
106,-1.642447822144377
107,-1.6424478217246705
108,-1.6424478212930176
109,-1.642447820849198
110,-1.6424478203929855
111,-1.6424478199241552
112,-1.6424478194424788
113,-1.6424478189477247
114,-1.6424478184396618
115,-1.6424478179180555
116,-1.6424478173826695
117,-1.6424478168332655
118,-1.642447816269607
119,-1.642447815691449
120,-1.6424478150985473
121,-1.6424478144906558
122,-1.6424478138675285
123,-1.642447813228913
124,-1.6424478125745627
125,-1.642447811904219
126,-1.6424478112176255
127,-1.6424478105145297
128,-1.6424478097946704
129,-1.642447809057782
130,-1.642447808303605
131,-1.6424478075318734
132,-1.64244780674232
133,-1.6424478059346745
134,-1.6424478051086677
135,-1.642447804264026
136,-1.6424478034004715
137,-1.6424478025177318
138,-1.642447801615525
139,-1.642447800693571
140,-1.6424477997515894
141,-1.6424477987892925
142,-1.642447797806396
143,-1.6424477968026097
144,-1.642447795777645
145,-1.642447794731208
146,-1.6424477936630082
147,-1.6424477925727465
148,-1.6424477914601268
149,-1.6424477903248478
150,-1.6424477891666103
151,-1.6424477879851096
152,-1.6424477867800407
153,-1.6424477855510962
154,-1.642447784297967
155,-1.6424477830203423
156,-1.6424477817179113
157,-1.6424477803903563
158,-1.642447779037364
159,-1.6424477776586113
160,-1.6424477762537835
161,-1.6424477748225532
162,-1.6424477733646008
163,-1.6424477718795976
164,-1.6424477703672158
165,-1.6424477688271282
166,-1.6424477672590017
167,-1.6424477656625027
168,-1.642447764037296
169,-1.6424477623830442
170,-1.6424477606994097
171,-1.6424477589860487
172,-1.642447757242622
173,-1.6424477554687817
174,-1.642447753664184
175,-1.64244775182848
176,-1.6424477499613184
177,-1.6424477480623494
178,-1.6424477461312177
179,-1.642447744167568
180,-1.6424477421710455
181,-1.6424477401412851
182,-1.642447738077933
183,-1.6424477359806209
184,-1.6424477338489887
185,-1.642447731682666
186,-1.6424477294812865
187,-1.6424477272444837
188,-1.6424477249718763
189,-1.6424477226630996
190,-1.6424477203177774
191,-1.642447717935528
192,-1.6424477155159753
193,-1.6424477130587392
194,-1.6424477105634356
195,-1.6424477080296802
196,-1.6424477054570896
197,-1.6424477028452722
198,-1.6424477001938402
199,-1.6424476975024016
200,-1.6424476947705633
201,-1.6424476919979287
202,-1.6424476891841027
203,-1.642447686328685
204,-1.6424476834312742
205,-1.642447680491472
206,-1.642447677508869
207,-1.6424476744830636
208,-1.642447671413643
209,-1.6424476683002014
210,-1.6424476651423283
211,-1.6424476619396062
212,-1.6424476586916261
213,-1.6424476553979666
214,-1.6424476520582105
215,-1.6424476486719388
216,-1.6424476452387264
217,-1.6424476417581537
218,-1.6424476382297961
219,-1.642447634653222
220,-1.6424476310280072
221,-1.6424476273537174
222,-1.642447623629922
223,-1.6424476198561864
224,-1.6424476160320765
225,-1.6424476121571547
226,-1.6424476082309816
227,-1.642447604253115
228,-1.6424476002231139
229,-1.6424475961405338
230,-1.6424475920049277
231,-1.6424475878158489
232,-1.6424475835728474
233,-1.642447579275473
234,-1.642447574923272
235,-1.642447570515791
236,-1.6424475660525715
237,-1.6424475615331573
238,-1.6424475569570853
239,-1.6424475523238968
240,-1.6424475476331277
241,-1.6424475428843135
242,-1.6424475380769843
243,-1.6424475332106747
244,-1.6424475282849127
245,-1.642447523299228
246,-1.6424475182531457
247,-1.6424475131461913
248,-1.6424475079778846
249,-1.6424475027477492
250,-1.6424474974553058
251,-1.6424474921000691
252,-1.642447486681556
253,-1.6424474811992822
254,-1.642447475652759
255,-1.642447470041499
256,-1.6424474643650104
257,-1.6424474586228024
258,-1.6424474528143815
259,-1.6424474469392483
260,-1.642447440996911
261,-1.6424474349868678
262,-1.6424474289086188
263,-1.642447422761663
264,-1.6424474165454963
265,-1.6424474102596125
266,-1.6424474039035066
267,-1.642447397476669
268,-1.6424473909785877
269,-1.6424473844087537
270,-1.642447377766653
271,-1.6424473710517689
272,-1.6424473642635846
273,-1.642447357401583
274,-1.6424473504652426
275,-1.6424473434540416
276,-1.642447336367457
277,-1.6424473292049633
278,-1.6424473219660334
279,-1.642447314650137
280,-1.642447307256748
281,-1.6424472997853303
282,-1.6424472922353528
283,-1.6424472846062772
284,-1.6424472768975706
285,-1.6424472691086909
286,-1.6424472612390988
287,-1.642447253288253
288,-1.6424472452556114
289,-1.6424472371406253
290,-1.642447228942751
291,-1.6424472206614367
292,-1.6424472122961344
293,-1.642447203846295
294,-1.6424471953113617
295,-1.642447186690782
296,-1.642447177983999
297,-1.6424471691904545
298,-1.6424471603095918
299,-1.6424471513408465
300,-1.6424471422836577
301,-1.6424471331374606
302,-1.6424471239016898
303,-1.6424471145757809
304,-1.6424471051591618
305,-1.6424470956512642
306,-1.6424470860515143
307,-1.6424470763593397
308,-1.642447066574167
309,-1.6424470566954177
310,-1.6424470467225152
311,-1.6424470366548782
312,-1.6424470264919269
313,-1.6424470162330762
314,-1.6424470058777423
315,-1.6424469954253411
316,-1.6424469848752825
317,-1.6424469742269767
318,-1.6424469634798344
319,-1.6424469526332623
320,-1.642446941686665
321,-1.6424469306394485
322,-1.6424469194910143
323,-1.6424469082407624
324,-1.6424468968880939
325,-1.6424468854324068
326,-1.6424468738730928
327,-1.6424468622095516
328,-1.6424468504411769
329,-1.6424468385673563
330,-1.6424468265874796
331,-1.6424468145009403
332,-1.642446802307121
333,-1.642446790005409
334,-1.6424467775951854
335,-1.6424467650758368
336,-1.6424467524467412
337,-1.6424467397072788
338,-1.6424467268568297
339,-1.6424467138947667
340,-1.6424467008204673
341,-1.642446687633303
342,-1.6424466743326473
343,-1.6424466609178714
344,-1.642446647388342
345,-1.6424466337434265
346,-1.642446619982494
347,-1.6424466061049061
348,-1.6424465921100253
349,-1.6424465779972153
350,-1.6424465637658356
351,-1.6424465494152416
352,-1.642446534944794
353,-1.6424465203538456
354,-1.6424465056417528
355,-1.6424464908078635
356,-1.6424464758515327
357,-1.6424464607721052
358,-1.6424464455689323
359,-1.6424464302413584
360,-1.642446414788728
361,-1.6424463992103837
362,-1.6424463835056706
363,-1.642446367673924
364,-1.6424463517144836
365,-1.6424463356266876
366,-1.6424463194098717
367,-1.6424463030633685
368,-1.6424462865865126
369,-1.642446269978633
370,-1.6424462532390607
371,-1.642446236367123
372,-1.6424462193621474
373,-1.6424462022234578
374,-1.642446184950378
375,-1.6424461675422337
376,-1.6424461499983412
377,-1.6424461323180222
378,-1.6424461145005946
379,-1.6424460965453742
380,-1.6424460784516788
381,-1.6424460602188182
382,-1.6424460418461078
383,-1.6424460233328564
384,-1.6424460046783758
385,-1.6424459858819696
386,-1.642445966942948
387,-1.6424459478606146
388,-1.6424459286342732
389,-1.6424459092632262
390,-1.6424458897467733
391,-1.642445870084215
392,-1.6424458502748458
393,-1.6424458303179652
394,-1.6424458102128654
395,-1.6424457899588407
396,-1.642445769555182
397,-1.6424457490011786
398,-1.64244572829612
399,-1.6424457074392953
400,-1.6424456864299872
401,-1.6424456652674813
402,-1.6424456439510597
403,-1.6424456224800046
404,-1.6424456008535955
405,-1.6424455790711112
406,-1.6424455571318293
407,-1.642445535035023
408,-1.6424455127799698
409,-1.64244549036594
410,-1.6424454677922082
411,-1.6424454450580417
412,-1.642445422162708
413,-1.6424453991054804
414,-1.6424453758856206
415,-1.6424453525023923
416,-1.6424453289550616
417,-1.6424453052428893
418,-1.6424452813651358
419,-1.6424452573210593
420,-1.6424452331099195
421,-1.6424452087309718
422,-1.642445184183469
423,-1.6424451594666685
424,-1.6424451345798208
425,-1.6424451095221773
426,-1.642445084292986
427,-1.6424450588914963
428,-1.6424450333169538
429,-1.6424450075686041
430,-1.6424449816456905
431,-1.6424449555474558
432,-1.6424449292731416
433,-1.6424449028219865
434,-1.6424448761932278
435,-1.6424448493861032
436,-1.6424448223998473
437,-1.6424447952336967
438,-1.6424447678868817
439,-1.6424447403586335
440,-1.6424447126481823
441,-1.6424446847547538
442,-1.6424446566775777
443,-1.6424446284158798
444,-1.6424445999688853
445,-1.6424445713358133
446,-1.6424445425158887
447,-1.6424445135083283
448,-1.6424444843123542
449,-1.642444454927183
450,-1.6424444253520296
451,-1.6424443955861083
452,-1.6424443656286345
453,-1.6424443354788185
454,-1.6424443051358717
455,-1.6424442745990013
456,-1.6424442438674174
457,-1.6424442129403254
458,-1.6424441818169309
459,-1.6424441504964362
460,-1.6424441189780452
461,-1.642444087260959
462,-1.6424440553443749
463,-1.6424440232274937
464,-1.6424439909095099
465,-1.6424439583896204
466,-1.6424439256670202
467,-1.6424438927408997
468,-1.6424438596104534
469,-1.6424438262748693
470,-1.6424437927333344
471,-1.6424437589850378
472,-1.6424437250291664
473,-1.642443690864903
474,-1.6424436564914322
475,-1.6424436219079344
476,-1.6424435871135927
477,-1.6424435521075826
478,-1.6424435168890865
479,-1.6424434814572775
480,-1.642443445811333
481,-1.6424434099504268
482,-1.64244337387373
483,-1.6424433375804168
484,-1.6424433010696566
485,-1.642443264340615
486,-1.642443227392466
487,-1.6424431902243708
488,-1.6424431528354948
489,-1.6424431152250036
490,-1.6424430773920593
491,-1.6424430393358203
492,-1.6424430010554512
493,-1.6424429625501091
494,-1.64244292381895
495,-1.642442884861129
496,-1.6424428456758051
497,-1.6424428062621266
498,-1.6424427666192496
499,-1.6424427267463206
500,-1.6424426866424933
501,-1.642442646306913
502,-1.642442605738726
503,-1.6424425649370795
504,-1.6424425239011187
505,-1.642442482629982
506,-1.6424424411228158
507,-1.6424423993787565
508,-1.6424423573969464
509,-1.6424423151765188
510,-1.6424422727166148
511,-1.6424422300163648
512,-1.6424421870749046
513,-1.6424421438913666
514,-1.6424421004648815
515,-1.6424420567945786
516,-1.642442012879586
517,-1.6424419687190326
518,-1.6424419243120407
519,-1.6424418796577396
520,-1.6424418347552499
521,-1.642441789603694
522,-1.6424417442021937
523,-1.642441698549866
524,-1.6424416526458325
525,-1.6424416064892087
526,-1.6424415600791107
527,-1.6424415134146513
528,-1.6424414664949458
529,-1.6424414193191061
530,-1.642441371886241
531,-1.642441324195462
532,-1.6424412762458795
533,-1.642441228036594
534,-1.6424411795667144
535,-1.642441130835347
536,-1.6424410818415927
537,-1.642441032584551
538,-1.6424409830633253
539,-1.6424409332770138
540,-1.642440883224715
541,-1.642440832905524
542,-1.6424407823185343
543,-1.6424407314628444
544,-1.6424406803375418
545,-1.6424406289417226
546,-1.6424405772744743
547,-1.6424405253348844
548,-1.6424404731220414
549,-1.6424404206350325
550,-1.6424403678729396
551,-1.6424403148348514
552,-1.6424402615198435
553,-1.6424402079270035
554,-1.6424401540554074
555,-1.6424400999041338
556,-1.6424400454722623
557,-1.6424399907588667
558,-1.642439935763026
559,-1.6424398804838087
560,-1.6424398249202892
561,-1.6424397690715422
562,-1.6424397129366322
563,-1.642439656514633
564,-1.6424395998046089
565,-1.6424395428056282
566,-1.6424394855167554
567,-1.6424394279370549
568,-1.64243937006559
569,-1.6424393119014231
570,-1.6424392534436116
571,-1.6424391946912167
572,-1.6424391356432955
573,-1.6424390762989043
574,-1.6424390166570986
575,-1.6424389567169315
576,-1.6424388964774594
577,-1.6424388359377293
578,-1.6424387750967944
579,-1.6424387139537033
580,-1.6424386525075019
581,-1.6424385907572379
582,-1.6424385287019556
583,-1.6424384663407003
584,-1.6424384036725124
585,-1.642438340696436
586,-1.642438277411509
587,-1.6424382138167715
588,-1.64243814991126
589,-1.642438085694011
590,-1.6424380211640608
591,-1.642437956320444
592,-1.6424378911621897
593,-1.6424378256883319
594,-1.642437759897905
595,-1.6424376937899303
596,-1.6424376273634416
597,-1.642437560617463
