,0
0,-1.920160600858315
1,-1.9201606008583152
2,-1.9201606008583143
3,-1.920160600858294
4,-1.9201606008582592
5,-1.9201606008581638
6,-1.9201606008579972
7,-1.9201606008577372
8,-1.9201606008573175
9,-1.9201606008567196
10,-1.9201606008558763
11,-1.9201606008547436
12,-1.9201606008532617
13,-1.9201606008513459
14,-1.9201606008489558
15,-1.9201606008459793
16,-1.920160600842348
17,-1.9201606008379681
18,-1.9201606008327408
19,-1.9201606008265752
20,-1.9201606008193484
21,-1.9201606008109653
22,-1.9201606008012948
23,-1.9201606007902075
24,-1.9201606007775918
25,-1.9201606007632894
26,-1.9201606007471634
27,-1.9201606007290817
28,-1.9201606007088776
29,-1.9201606006863823
30,-1.9201606006614573
31,-1.920160600633914
32,-1.920160600603577
33,-1.9201606005702752
34,-1.920160600533801
35,-1.9201606004939824
36,-1.9201606004506022
37,-1.9201606004034684
38,-1.9201606003523666
39,-1.9201606002970866
40,-1.9201606002374014
41,-1.9201606001730624
42,-1.9201606001038842
43,-1.9201606000295877
44,-1.9201605999499498
45,-1.9201605998647129
46,-1.920160599773628
47,-1.9201605996764155
48,-1.9201605995728344
49,-1.920160599462592
50,-1.9201605993454196
51,-1.920160599221036
52,-1.9201605990891577
53,-1.9201605989494699
54,-1.9201605988016937
55,-1.9201605986455204
56,-1.9201605984806083
57,-1.9201605983066918
58,-1.9201605981234084
59,-1.920160597930442
60,-1.9201605977274692
61,-1.9201605975141427
62,-1.92016059729012
63,-1.9201605970550368
64,-1.920160596808567
65,-1.9201605965503274
66,-1.9201605962799597
67,-1.9201605959970796
68,-1.9201605957013368
69,-1.9201605953923304
70,-1.9201605950696723
71,-1.9201605947329623
72,-1.9201605943818107
73,-1.9201605940158144
74,-1.9201605936345572
75,-1.9201605932376344
76,-1.9201605928246108
77,-1.920160592395062
78,-1.9201605919485616
79,-1.920160591484679
80,-1.920160591002951
81,-1.920160590502947
82,-1.9201605899842105
83,-1.9201605894462803
84,-1.9201605888886906
85,-1.920160588310963
86,-1.9201605877126389
87,-1.9201605870932386
88,-1.9201605864522573
89,-1.9201605857892234
90,-1.9201605851036323
91,-1.92016058439498
92,-1.9201605836627542
93,-1.9201605829064528
94,-1.9201605821255536
95,-1.9201605813195333
96,-1.9201605804878659
97,-1.9201605796300139
98,-1.9201605787454388
99,-1.9201605778335906
100,-1.9201605768939243
101,-1.9201605759258975
102,-1.9201605749289257
103,-1.92016057390247
104,-1.920160572845925
105,-1.9201605717587469
106,-1.9201605706403349
107,-1.920160569490106
108,-1.920160568307473
109,-1.9201605670918396
110,-1.9201605658425887
111,-1.920160564559137
112,-1.920160563240843
113,-1.9201605618871036
114,-1.9201605604973013
115,-1.920160559070794
116,-1.9201605576069594
117,-1.9201605561051458
118,-1.920160554564717
119,-1.920160552985021
120,-1.9201605513654036
121,-1.9201605497052099
122,-1.92016054800376
123,-1.9201605462603952
124,-1.9201605444744478
125,-1.9201605426452215
126,-1.920160540772032
127,-1.9201605388541902
128,-1.9201605368910126
129,-1.9201605348817818
130,-1.920160532825785
131,-1.9201605307223397
132,-1.9201605285707029
133,-1.9201605263701575
134,-1.9201605241199935
135,-1.9201605218194566
136,-1.9201605194678162
137,-1.9201605170643372
138,-1.9201605146082616
139,-1.9201605120988428
140,-1.9201605095353302
141,-1.9201605069169543
142,-1.9201605042429415
143,-1.9201605015125327
144,-1.9201604987249423
145,-1.9201604958793785
146,-1.9201604929750677
147,-1.9201604900112028
148,-1.9201604869870017
149,-1.920160483901657
150,-1.9201604807543566
151,-1.9201604775442833
152,-1.920160474270626
153,-1.9201604709325588
154,-1.9201604675292563
155,-1.9201604640598875
156,-1.9201604605235991
157,-1.9201604569195683
158,-1.9201604532469343
159,-1.920160449504844
160,-1.9201604456924484
161,-1.9201604418088742
162,-1.9201604378532626
163,-1.9201604338247342
164,-1.9201604297224146
165,-1.9201604255454217
166,-1.9201604212928582
167,-1.920160416963834
168,-1.920160412557464
169,-1.920160408072837
170,-1.9201604035090403
171,-1.9201603988651696
172,-1.9201603941403074
173,-1.9201603893335268
174,-1.920160384443906
175,-1.920160379470504
176,-1.9201603744123943
177,-1.9201603692686242
178,-1.9201603640382618
179,-1.920160358720341
180,-1.9201603533139169
181,-1.920160347818018
182,-1.9201603422316762
183,-1.920160336553939
184,-1.9201603307838138
185,-1.9201603249203227
186,-1.920160318962484
187,-1.9201603129093086
188,-1.9201603067597937
189,-1.9201603005129428
190,-1.9201602941677498
191,-1.9201602877232196
192,-1.9201602811783216
193,-1.9201602745320339
194,-1.9201602677833396
195,-1.920160260931214
196,-1.9201602539746137
197,-1.9201602469125134
198,-1.9201602397438575
199,-1.9201602324676004
200,-1.9201602250826957
201,-1.9201602175880776
202,-1.9201602099826967
203,-1.9201602022654731
204,-1.9201601944353404
205,-1.9201601864912206
206,-1.920160178432025
207,-1.920160170256697
208,-1.9201601619641133
209,-1.9201601535531916
210,-1.9201601450228323
211,-1.9201601363719227
212,-1.9201601275993703
213,-1.9201601187040473
214,-1.9201601096848435
215,-1.9201601005406226
216,-1.9201600912702652
217,-1.9201600818726419
218,-1.9201600723466064
219,-1.920160062691029
220,-1.9201600529047498
221,-1.9201600429866226
222,-1.9201600329354926
223,-1.9201600227502031
224,-1.920160012429579
225,-1.9201600019724507
226,-1.9201599913776644
227,-1.9201599806440024
228,-1.9201599697703091
229,-1.920159958755408
230,-1.920159947598066
231,-1.9201599362971171
232,-1.9201599248513435
233,-1.9201599132595542
234,-1.9201599015205157
235,-1.920159889633025
236,-1.9201598775958717
237,-1.9201598654078096
238,-1.9201598530676205
239,-1.9201598405740747
240,-1.9201598279259209
241,-1.9201598151219244
242,-1.9201598021608266
243,-1.9201597890413953
244,-1.9201597757623547
245,-1.9201597623224427
246,-1.9201597487204145
247,-1.9201597349549784
248,-1.9201597210248733
249,-1.9201597069288052
250,-1.9201596926654942
251,-1.9201596782336636
252,-1.9201596636320013
253,-1.9201596488592345
254,-1.920159633914031
