,0
0,-1.920160600858315
1,-1.9201606008583094
2,-1.9201606008581948
3,-1.920160600857663
4,-1.9201606008562533
5,-1.9201606008532788
6,-1.9201606008478718
7,-1.9201606008389756
8,-1.9201606008253436
9,-1.9201606008055525
10,-1.9201606007779806
11,-1.9201606007407994
12,-1.9201606006920353
13,-1.9201606006295104
14,-1.9201606005508607
15,-1.9201606004535354
16,-1.920160600334822
17,-1.9201606001918015
18,-1.9201606000213955
19,-1.9201605998203273
20,-1.9201605995851625
21,-1.920160599312294
22,-1.9201605989978923
23,-1.920160598638012
24,-1.9201605982284893
25,-1.9201605977650213
26,-1.9201605972430915
27,-1.920160596658053
28,-1.9201605960050645
29,-1.9201605952791112
30,-1.920160594475014
31,-1.9201605935874413
32,-1.9201605926108827
33,-1.92016059153965
34,-1.9201605903679
35,-1.9201605890896285
36,-1.9201605876986623
37,-1.9201605861886542
38,-1.920160584553122
39,-1.920160582785394
40,-1.9201605808786493
41,-1.9201605788259197
42,-1.9201605766200456
43,-1.9201605742537529
44,-1.920160571719573
45,-1.9201605690099068
46,-1.9201605661169827
47,-1.9201605630328766
48,-1.9201605597495164
49,-1.9201605562586779
50,-1.9201605525519831
51,-1.9201605486209015
52,-1.9201605444567502
53,-1.9201605400507091
54,-1.9201605353937923
55,-1.9201605304768612
56,-1.9201605252906793
57,-1.920160519825791
58,-1.9201605140726523
59,-1.9201605080215307
60,-1.9201605016626238
61,-1.9201604949858846
62,-1.9201604879811944
63,-1.9201604806382822
64,-1.9201604729467239
65,-1.9201604648959572
66,-1.9201604564752914
67,-1.9201604476738898
68,-1.9201604384807796
69,-1.9201604288848433
70,-1.9201604188748571
71,-1.9201604084394264
72,-1.9201603975670536
73,-1.9201603862460754
74,-1.9201603744647213
75,-1.9201603622110965
76,-1.9201603494731363
77,-1.9201603362386956
78,-1.9201603224954498
79,-1.9201603082309866
80,-1.9201602934327622
81,-1.9201602780880802
82,-1.920160262184128
83,-1.9201602457079856
84,-1.920160228646596
85,-1.92016021098676
86,-1.920160192715207
87,-1.9201601738184793
88,-1.920160154283053
89,-1.9201601340952408
90,-1.9201601132412691
91,-1.9201600917072295
92,-1.920160069479097
93,-1.9201600465427298
94,-1.9201600228838624
95,-1.9201599984881323
96,-1.9201599733410344
97,-1.9201599474279878
98,-1.9201599207342444
99,-1.9201598932449966
100,-1.9201598649452918
101,-1.9201598358200738
102,-1.9201598058541791
103,-1.9201597750323338
104,-1.9201597433391426
105,-1.9201597107591257
106,-1.9201596772766742
107,-1.920159642876086
108,-1.9201596075415397
109,-1.9201595712571156
110,-1.9201595340067883
111,-1.9201594957744297
112,-1.9201594565438092
113,-1.920159416298586
114,-1.92015937502233
115,-1.9201593326984914
116,-1.9201592893104373
117,-1.9201592448414262
118,-1.9201591992746214
119,-1.9201591525930795
120,-1.9201591047797708
121,-1.920159055817574
122,-1.9201590056892341
123,-1.920158954377448
124,-1.9201589018647878
125,-1.9201588481337417
126,-1.9201587931666944
127,-1.920158736945957
128,-1.9201586794537437
129,-1.9201586206721455
130,-1.9201585605832074
131,-1.9201584991688678
132,-1.9201584364109547
