,0
0,-1.6424478330547703
1,-1.6424478330547767
2,-1.6424478330547767
3,-1.6424478330547652
4,-1.6424478330547547
5,-1.6424478330547165
6,-1.6424478330546557
7,-1.6424478330545544
8,-1.6424478330544003
9,-1.6424478330541683
10,-1.642447833053863
11,-1.6424478330534444
12,-1.6424478330528824
13,-1.6424478330521595
14,-1.6424478330512597
15,-1.6424478330501473
16,-1.6424478330487893
17,-1.6424478330471461
18,-1.6424478330451915
19,-1.6424478330428747
20,-1.642447833040171
21,-1.6424478330370236
22,-1.6424478330333938
23,-1.6424478330292458
24,-1.6424478330245165
25,-1.642447833019156
26,-1.6424478330131036
27,-1.6424478330063155
28,-1.6424478329987515
29,-1.6424478329903198
30,-1.6424478329809735
31,-1.642447832970645
32,-1.642447832959282
33,-1.6424478329467809
34,-1.642447832933116
35,-1.6424478329181824
36,-1.642447832901919
37,-1.6424478328842411
38,-1.6424478328650858
39,-1.6424478328443637
40,-1.6424478328219791
41,-1.6424478327978653
42,-1.6424478327719296
43,-1.6424478327440737
44,-1.6424478327142176
45,-1.6424478326822625
46,-1.6424478326481147
47,-1.6424478326116685
48,-1.6424478325728211
49,-1.6424478325314966
50,-1.6424478324875684
51,-1.6424478324409417
52,-1.6424478323914977
53,-1.642447832339118
54,-1.6424478322837206
55,-1.642447832225157
56,-1.6424478321633407
57,-1.6424478320981344
58,-1.6424478320294227
59,-1.6424478319570757
60,-1.6424478318809792
61,-1.642447831801002
62,-1.642447831717006
63,-1.6424478316288826
64,-1.6424478315364728
65,-1.642447831439658
66,-1.6424478313382944
67,-1.6424478312322381
68,-1.6424478311213564
69,-1.6424478310055046
70,-1.6424478308845316
71,-1.6424478307582937
72,-1.642447830626651
73,-1.6424478304894299
74,-1.6424478303464878
75,-1.6424478301976786
76,-1.6424478300428291
77,-1.6424478298817842
78,-1.6424478297143896
79,-1.6424478295404672
80,-1.6424478293598737
81,-1.64244782917242
82,-1.6424478289779358
83,-1.6424478287762454
84,-1.6424478285671984
85,-1.642447828350625
86,-1.6424478281262906
87,-1.6424478278940564
88,-1.642447827653745
89,-1.6424478274051768
90,-1.6424478271481298
91,-1.642447826882446
92,-1.6424478266079376
93,-1.642447826324382
94,-1.6424478260316122
95,-1.6424478257294235
96,-1.6424478254176196
97,-1.642447825096011
98,-1.642447824764364
99,-1.6424478244224947
100,-1.642447824070202
101,-1.642447823707276
102,-1.6424478233335058
103,-1.6424478229486625
104,-1.6424478225525652
105,-1.6424478221449497
106,-1.642447821725641
107,-1.642447821294414
108,-1.6424478208510318
109,-1.6424478203952773
110,-1.6424478199269157
111,-1.6424478194457282
112,-1.6424478189514737
113,-1.642447818443949
114,-1.6424478179228919
115,-1.642447817388082
116,-1.642447816839262
117,-1.6424478162762168
118,-1.6424478156986941
119,-1.6424478151064403
120,-1.6424478144992172
121,-1.6424478138767953
122,-1.642447813238893
123,-1.6424478125852906
124,-1.6424478119157064
125,-1.642447811229914
126,-1.6424478105276246
127,-1.6424478098086015
128,-1.6424478090725696
129,-1.642447808319292
130,-1.642447807548476
131,-1.6424478067598647
132,-1.6424478059531866
133,-1.6424478051281755
134,-1.642447804284549
135,-1.6424478034220449
136,-1.642447802540383
137,-1.6424478016393007
138,-1.6424478007184768
139,-1.6424477997776623
140,-1.6424477988165658
141,-1.6424477978349044
142,-1.6424477968323856
143,-1.6424477958087103
144,-1.642447794763611
145,-1.64244779369676
146,-1.642447792607906
147,-1.642447791496706
148,-1.6424477903629007
149,-1.6424477892061566
150,-1.6424477880261956
151,-1.6424477868226903
152,-1.642447785595362
153,-1.6424477843438703
154,-1.6424477830679312
155,-1.6424477817672276
156,-1.6424477804414168
157,-1.6424477790902126
158,-1.642447777713299
159,-1.6424477763103331
160,-1.6424477748810216
161,-1.6424477734250176
162,-1.6424477719419994
163,-1.64244777043164
164,-1.6424477688936263
165,-1.6424477673276288
166,-1.6424477657332759
167,-1.6424477641102673
168,-1.6424477624582667
169,-1.6424477607769168
170,-1.642447759065888
171,-1.6424477573248377
172,-1.64244775555343
173,-1.6424477537513074
174,-1.6424477519181129
175,-1.6424477500535228
176,-1.6424477481571562
177,-1.6424477462286953
178,-1.6424477442677592
179,-1.6424477422740038
180,-1.642447740247062
181,-1.6424477381865785
182,-1.6424477360921705
183,-1.6424477339635193
184,-1.6424477318002213
185,-1.6424477296019193
186,-1.6424477273682334
187,-1.6424477250988316
188,-1.6424477227932925
189,-1.642447720451275
190,-1.6424477180723716
191,-1.6424477156562256
192,-1.6424477132024489
193,-1.6424477107106596
194,-1.642447708180494
195,-1.6424477056115296
196,-1.642447703003416
197,-1.6424477003557465
198,-1.642447697668115
199,-1.6424476949401328
200,-1.6424476921714526
201,-1.642447689361613
202,-1.6424476865102489
203,-1.6424476836169686
204,-1.642447680681349
205,-1.6424476777029813
206,-1.6424476746814847
207,-1.6424476716164316
208,-1.6424476685074367
209,-1.642447665354067
210,-1.6424476621559216
211,-1.6424476589125707
212,-1.6424476556236312
213,-1.6424476522886493
214,-1.6424476489072308
215,-1.642447645478931
216,-1.6424476420033558
217,-1.6424476384800566
218,-1.6424476349086228
219,-1.642447631288607
220,-1.642447627619606
221,-1.6424476239011558
222,-1.642447620132858
223,-1.6424476163142547
224,-1.642447612444918
225,-1.6424476085243869
226,-1.6424476045522496
227,-1.642447600528066
228,-1.6424475964513705
229,-1.6424475923217343
230,-1.642447588138693
231,-1.6424475839018158
232,-1.642447579610646
233,-1.642447575264711
234,-1.6424475708635897
235,-1.6424475664068081
236,-1.6424475618939147
237,-1.6424475573244528
238,-1.6424475526979276
239,-1.6424475480139291
240,-1.6424475432719645
241,-1.642447538471569
242,-1.6424475336122724
243,-1.6424475286936286
244,-1.6424475237151308
245,-1.642447518676328
246,-1.642447513576755
247,-1.6424475084158938
248,-1.6424475031932884
249,-1.6424474979084807
250,-1.6424474925609844
251,-1.642447487150279
252,-1.6424474816759236
253,-1.642447476137405
254,-1.642447470534244
255,-1.6424474648659533
256,-1.6424474591320397
257,-1.6424474533319993
258,-1.6424474474653585
259,-1.6424474415316044
260,-1.642447435530234
261,-1.6424474294607725
262,-1.6424474233226887
263,-1.6424474171154897
264,-1.642447410838686
265,-1.6424474044917425
266,-1.642447398074186
267,-1.6424473915854805
268,-1.6424473850251224
269,-1.6424473783925981
270,-1.6424473716873957
271,-1.6424473649089886
272,-1.6424473580568677
273,-1.6424473511305253
274,-1.6424473441293994
275,-1.64244733705302
276,-1.642447329900819
277,-1.642447322672297
278,-1.6424473153669097
279,-1.642447307984133
280,-1.6424473005234403
281,-1.6424472929842975
282,-1.642447285366158
283,-1.6424472776685157
284,-1.6424472698908026
285,-1.642447262032485
286,-1.6424472540930184
287,-1.6424472460718809
288,-1.6424472379685204
289,-1.6424472297823702
290,-1.6424472215129053
291,-1.6424472131595638
292,-1.642447204721816
293,-1.6424471961990774
294,-1.6424471875908304
295,-1.6424471788964912
296,-1.6424471701155126
297,-1.64244716124732
298,-1.642447152291388
299,-1.6424471432471306
300,-1.6424471341139835
301,-1.6424471248913879
302,-1.6424471155787874
303,-1.6424471061755894
304,-1.6424470966812375
305,-1.6424470870951573
306,-1.642447077416781
307,-1.6424470676455234
308,-1.6424470577808392
309,-1.642447047822112
310,-1.6424470377687683
311,-1.6424470276202452
312,-1.642447017375952
313,-1.642447007035307
314,-1.6424469965977229
315,-1.6424469860626063
316,-1.6424469754293636
317,-1.6424469646974118
318,-1.6424469538661746
319,-1.6424469429350448
320,-1.6424469319034252
321,-1.6424469207707109
322,-1.6424469095363297
323,-1.642446898199645
324,-1.6424468867600903
325,-1.6424468752170496
326,-1.642446863569919
327,-1.6424468518180861
328,-1.6424468399609444
329,-1.6424468279978972
330,-1.6424468159283105
331,-1.6424468037516002
332,-1.6424467914671357
333,-1.6424467790743027
334,-1.6424467665724933
335,-1.642446753961082
336,-1.6424467412394461
337,-1.6424467284069688
338,-1.6424467154630162
339,-1.6424467024069798
340,-1.6424466892382383
341,-1.642446675956145
342,-1.64244666256008
343,-1.6424466490494203
344,-1.6424466354235054
345,-1.6424466216817277
346,-1.6424466078234428
347,-1.6424465938480393
348,-1.6424465797548313
349,-1.6424465655432166
350,-1.642446551212545
351,-1.642446536762168
352,-1.6424465221914366
353,-1.6424465074997283
354,-1.6424464926863593
355,-1.6424464777507146
356,-1.6424464626921307
357,-1.642446447509942
358,-1.6424464322035386
359,-1.6424464167722133
360,-1.6424464012153444
361,-1.6424463855322524
362,-1.642446369722288
363,-1.6424463537848013
364,-1.642446337719118
365,-1.642446321524568
366,-1.642446305200493
367,-1.6424462887462363
368,-1.6424462721611157
369,-1.6424462554444819
370,-1.6424462385956284
371,-1.6424462216139066
372,-1.6424462044986354
373,-1.6424461872491578
374,-1.6424461698647765
375,-1.64244615234482
376,-1.642446134688594
377,-1.642446116895429
378,-1.6424460989646485
379,-1.6424460808955637
380,-1.6424460626874768
381,-1.6424460443397302
382,-1.6424460258516025
383,-1.6424460072224139
384,-1.6424459884514686
385,-1.6424459695380966
386,-1.6424459504815836
387,-1.6424459312812236
388,-1.642445911936355
389,-1.6424458924462377
390,-1.6424458728102085
391,-1.6424458530275334
392,-1.6424458330975138
393,-1.6424458130194706
394,-1.642445792792662
395,-1.6424457724164152
396,-1.642445751889999
397,-1.6424457312127052
398,-1.6424457103838286
399,-1.6424456894026467
400,-1.6424456682684674
401,-1.6424456469805462
402,-1.6424456255381652
403,-1.6424456039406312
404,-1.6424455821872077
405,-1.6424455602771664
406,-1.6424455382098075
407,-1.6424455159843752
408,-1.6424454936001622
409,-1.6424454710564322
410,-1.6424454483524722
411,-1.6424454254875338
412,-1.6424454024608917
413,-1.6424453792718214
414,-1.6424453559195673
415,-1.6424453324034045
416,-1.6424453087226107
417,-1.6424452848764108
418,-1.6424452608640914
419,-1.6424452366849196
420,-1.642445212338123
421,-1.6424451878229815
422,-1.6424451631387222
423,-1.6424451382846403
424,-1.64244511325994
425,-1.6424450880639103
426,-1.6424450626957696
427,-1.6424450371547734
428,-1.6424450114401747
429,-1.6424449855512155
430,-1.642444959487138
431,-1.6424449332471869
432,-1.6424449068305853
433,-1.6424448802365865
434,-1.6424448534644394
435,-1.6424448265133504
436,-1.642444799382589
437,-1.6424447720713449
438,-1.6424447445788848
439,-1.642444716904425
440,-1.6424446890471878
441,-1.6424446610064434
442,-1.6424446327813644
443,-1.6424446043711947
444,-1.642444575775164
445,-1.6424445469924875
446,-1.642444518022392
447,-1.6424444888640886
448,-1.6424444595167913
449,-1.6424444299797456
450,-1.6424444002521288
451,-1.6424443703331704
452,-1.6424443402221045
453,-1.6424443099181054
454,-1.642444279420403
455,-1.642444248728208
456,-1.6424442178407126
457,-1.6424441867571442
458,-1.6424441554766878
459,-1.6424441239985486
460,-1.6424440923219399
461,-1.6424440604460586
462,-1.6424440283700947
463,-1.6424439960932569
464,-1.6424439636147241
465,-1.6424439309337155
466,-1.6424438980494178
467,-1.6424438649610167
468,-1.642443831667693
469,-1.6424437981686413
470,-1.642443764463069
471,-1.6424437305501578
472,-1.642443696429081
473,-1.642443662099008
474,-1.6424436275591572
475,-1.6424435928087027
476,-1.6424435578468086
477,-1.6424435226726641
478,-1.6424434872854394
479,-1.6424434516843107
480,-1.6424434158684629
481,-1.6424433798370495
482,-1.6424433435892751
483,-1.6424433071242979
484,-1.6424432704412708
485,-1.6424432335393677
486,-1.6424431964177877
487,-1.6424431590756368
488,-1.6424431215121198
489,-1.6424430837264115
490,-1.6424430457176395
491,-1.642443007484997
492,-1.6424429690276034
493,-1.642442930344643
494,-1.642442891435278
495,-1.6424428522986447
496,-1.6424428129339141
497,-1.6424427733402298
498,-1.6424427335167302
499,-1.642442693462582
500,-1.6424426531769385
501,-1.6424426126589413
502,-1.6424425719077138
503,-1.6424425309224397
504,-1.642442489702246
505,-1.642442448246251
506,-1.6424424065536316
507,-1.642442364623508
508,-1.6424423224550293
509,-1.642442280047325
510,-1.6424422373995204
511,-1.6424421945107677
512,-1.6424421513801963
513,-1.6424421080069247
514,-1.6424420643901034
515,-1.642442020528848
516,-1.6424419764222844
517,-1.6424419320695536
518,-1.6424418874697742
519,-1.6424418426220606
520,-1.642441797525541
521,-1.6424417521793424
522,-1.642441706582598
523,-1.6424416607343884
524,-1.642441614633854
