,0
0,0.0
1,0.4
2,0.8
3,1.2000000000000002
4,1.6
5,2.0
6,2.4000000000000004
7,2.8000000000000003
8,3.2
9,3.6
10,4.0
11,4.4
12,4.800000000000001
13,5.2
14,5.6000000000000005
15,6.0
16,6.4
17,6.800000000000001
18,7.2
19,7.6000000000000005
20,8.0
21,8.4
22,8.8
23,9.200000000000001
24,9.600000000000001
25,10.0
26,10.4
27,10.8
28,11.200000000000001
29,11.600000000000001
30,12.0
31,12.4
32,12.8
33,13.200000000000001
34,13.600000000000001
35,14.0
36,14.4
37,14.8
38,15.200000000000001
39,15.600000000000001
40,16.0
41,16.400000000000002
42,16.8
43,17.2
44,17.6
45,18.0
46,18.400000000000002
47,18.8
48,19.200000000000003
49,19.6
50,20.0
51,20.400000000000002
52,20.8
53,21.200000000000003
54,21.6
55,22.0
56,22.400000000000002
57,22.8
58,23.200000000000003
59,23.6
60,24.0
61,24.400000000000002
62,24.8
63,25.200000000000003
64,25.6
65,26.0
66,26.400000000000002
67,26.8
68,27.200000000000003
69,27.6
70,28.0
71,28.400000000000002
72,28.8
73,29.200000000000003
74,29.6
75,30.0
